network_order;cityscapes;coco
(a);1.00000;0.91710
(b);1.00000;0.92746
(c);1.00000;0.94681
(d);1.00000;0.93194
(e);1.00000;0.94211
(a)>(b);1.00000;0.87192
(a)>(c);1.00000;0.88889
(a)>(d);1.00000;0.88889
(a)>(e);1.00000;0.89950
(b)>(c);1.00000;0.89744
(b)>(d);1.00000;0.89340
(b)>(e);1.00000;0.88832
(c)>(d);1.00000;0.90625
(c)>(e);1.00000;0.91237
(d)>(e);1.00000;0.90769
(a)>(b)>(c);1.00000;0.97283
(a)>(b)>(d);1.00000;0.96757
(a)>(b)>(e);1.00000;0.97268
(a)>(c)>(d);1.00000;0.96196
(a)>(c)>(e);1.00000;0.97268
(a)>(d)>(e);1.00000;0.96739
(b)>(c)>(d);1.00000;0.96757
(b)>(c)>(e);1.00000;0.97826
(b)>(d)>(e);1.00000;0.96721
(c)>(d)>(e);1.00000;0.96237
(a)>(b)>(c)>(d);1.00000;0.95161
(a)>(b)>(c)>(e);1.00000;0.95699
(a)>(b)>(d)>(e);1.00000;0.95676
(a)>(c)>(d)>(e);1.00000;0.96216
(b)>(c)>(d)>(e);1.00000;0.95161
(a)>(b)>(c)>(d)>(e);1.00000;0.96739
