network_order;cityscapes;coco
(a);inf;3.56075
(b);inf;4.30928
(c);inf;4.18367
(d);inf;4.10526
(e);inf;4.00000
(a)>(b);inf;4.88393
(a)>(c);inf;4.59829
(a)>(d);inf;4.27928
(a)>(e);inf;4.02609
(b)>(c);inf;4.79661
(b)>(d);inf;4.95370
(b)>(e);inf;4.44037
(c)>(d);inf;4.60714
(c)>(e);inf;4.41379
(d)>(e);inf;4.55000
(a)>(b)>(c);inf;3.03000
(a)>(b)>(d);inf;3.10891
(a)>(b)>(e);inf;2.85981
(a)>(c)>(d);inf;3.13000
(a)>(c)>(e);inf;3.22449
(a)>(d)>(e);inf;3.30208
(b)>(c)>(d);inf;3.18085
(b)>(c)>(e);inf;3.05155
(b)>(d)>(e);inf;2.84158
(c)>(d)>(e);inf;3.30928
(a)>(b)>(c)>(d);inf;3.42453
(a)>(b)>(c)>(e);inf;3.13761
(a)>(b)>(d)>(e);inf;3.27358
(a)>(c)>(d)>(e);inf;3.48544
(b)>(c)>(d)>(e);inf;3.31068
(a)>(b)>(c)>(d)>(e);inf;2.97030
