network_order;cityscapes;coco
(a);0.44140;0.62825
(b);0.44042;0.62292
(c);0.44140;0.61238
(d);0.42201;0.61277
(e);0.43531;0.61424
(a)>(b);0.45524;0.63278
(a)>(c);0.44140;0.62666
(a)>(d);0.44939;0.62493
(a)>(e);0.45017;0.62810
(b)>(c);0.45553;0.62703
(b)>(d);0.45034;0.62547
(b)>(e);0.44979;0.62824
(c)>(d);0.44939;0.61949
(c)>(e);0.45017;0.62175
(d)>(e);0.44148;0.61838
(a)>(b)>(c);0.44118;0.64232
(a)>(b)>(d);0.44974;0.63842
(a)>(b)>(e);0.45586;0.64308
(a)>(c)>(d);0.44123;0.63942
(a)>(c)>(e);0.44121;0.63922
(a)>(d)>(e);0.44894;0.63373
(b)>(c)>(d);0.45070;0.63930
(b)>(c)>(e);0.45583;0.64055
(b)>(d)>(e);0.45019;0.63681
(c)>(d)>(e);0.44894;0.63112
(a)>(b)>(c)>(d);0.45026;0.64417
(a)>(b)>(c)>(e);0.45581;0.64757
(a)>(b)>(d)>(e);0.45994;0.64335
(a)>(c)>(d)>(e);0.45133;0.64091
(b)>(c)>(d)>(e);0.46008;0.64163
(a)>(b)>(c)>(d)>(e);0.45035;0.64205
