network_order;cityscapes;coco
(a);inf;135.75000
(b);inf;274.50000
(c);inf;135.00000
(d);inf;135.75000
(e);inf;273.00000
(a)>(b);inf;110.40000
(a)>(c);inf;109.00000
(a)>(d);inf;109.00000
(a)>(e);inf;138.25000
(b)>(c);inf;135.25000
(b)>(d);inf;136.25000
(b)>(e);inf;135.75000
(c)>(d);inf;89.00000
(c)>(e);inf;181.66667
(d)>(e);inf;136.25000
(a)>(b)>(c);inf;541.00000
(a)>(b)>(d);inf;180.00000
(a)>(b)>(e);inf;268.50000
(a)>(c)>(d);inf;133.50000
(a)>(c)>(e);inf;178.66667
(a)>(d)>(e);inf;179.00000
(b)>(c)>(d);inf;542.00000
(b)>(c)>(e);inf;543.00000
(b)>(d)>(e);inf;267.50000
(c)>(d)>(e);inf;271.00000
(a)>(b)>(c)>(d);inf;179.00000
(a)>(b)>(c)>(e);inf;270.00000
(a)>(b)>(d)>(e);inf;178.66667
(a)>(c)>(d)>(e);inf;179.33333
(b)>(c)>(d)>(e);inf;269.00000
(a)>(b)>(c)>(d)>(e);inf;179.00000
