network_order;cityscapes;coco
(a);0.09343;0.05212
(b);0.09288;0.05217
(c);0.09343;0.05501
(d);0.08963;0.05460
(e);0.09327;0.05530
(a)>(b);0.08047;0.04504
(a)>(c);0.09343;0.04686
(a)>(d);0.08080;0.04561
(a)>(e);0.08128;0.04560
(b)>(c);0.08044;0.04610
(b)>(d);0.07908;0.04502
(b)>(e);0.07939;0.04501
(c)>(d);0.08080;0.04704
(c)>(e);0.08128;0.04710
(d)>(e);0.08347;0.04774
(a)>(b)>(c);0.09369;0.05130
(a)>(b)>(d);0.08964;0.05104
(a)>(b)>(e);0.09118;0.05121
(a)>(c)>(d);0.09362;0.05203
(a)>(c)>(e);0.09365;0.05204
(a)>(d)>(e);0.09037;0.05238
(b)>(c)>(d);0.08958;0.05175
(b)>(c)>(e);0.09125;0.05186
(b)>(d)>(e);0.08986;0.05243
(c)>(d)>(e);0.09037;0.05314
(a)>(b)>(c)>(d);0.08698;0.04810
(a)>(b)>(c)>(e);0.08678;0.04816
(a)>(b)>(d)>(e);0.08489;0.04796
(a)>(c)>(d)>(e);0.08546;0.04870
(b)>(c)>(d)>(e);0.08509;0.04842
(a)>(b)>(c)>(d)>(e);0.09124;0.05202
