network_order;cityscapes;coco
(a);0.40144;0.57089
(b);0.40083;0.56674
(c);0.40144;0.55667
(d);0.38127;0.55514
(e);0.39299;0.55651
(a)>(b);0.40618;0.56586
(a)>(c);0.40144;0.56061
(a)>(d);0.39991;0.55733
(a)>(e);0.40001;0.55977
(b)>(c);0.40635;0.56000
(b)>(d);0.39988;0.55742
(b)>(e);0.39899;0.55937
(c)>(d);0.39991;0.55228
(c)>(e);0.40001;0.55410
(d)>(e);0.39254;0.55119
(a)>(b)>(c);0.40142;0.58468
(a)>(b)>(d);0.40861;0.58085
(a)>(b)>(e);0.41450;0.58465
(a)>(c)>(d);0.40144;0.58117
(a)>(c)>(e);0.40144;0.58062
(a)>(d)>(e);0.40654;0.57512
(b)>(c)>(d);0.40948;0.58153
(b)>(c)>(e);0.41458;0.58227
(b)>(d)>(e);0.40753;0.57812
(c)>(d)>(e);0.40654;0.57290
(a)>(b)>(c)>(d);0.40637;0.58111
(a)>(b)>(c)>(e);0.41075;0.58401
(a)>(b)>(d)>(e);0.41345;0.57944
(a)>(c)>(d)>(e);0.40555;0.57708
(b)>(c)>(d)>(e);0.41361;0.57781
(a)>(b)>(c)>(d)>(e);0.40977;0.58483
