network_order;cityscapes;coco
(a);1.00000;0.39623
(b);1.00000;0.39564
(c);1.00000;0.40683
(d);1.00000;0.42173
(e);1.00000;0.43686
(a)>(b);1.00000;0.32267
(a)>(c);1.00000;0.32718
(a)>(d);1.00000;0.35227
(a)>(e);1.00000;0.33908
(b)>(c);1.00000;0.31443
(b)>(d);1.00000;0.33604
(b)>(e);1.00000;0.34473
(c)>(d);1.00000;0.34239
(c)>(e);1.00000;0.33152
(d)>(e);1.00000;0.37982
(a)>(b)>(c);1.00000;0.44948
(a)>(b)>(d);1.00000;0.43986
(a)>(b)>(e);1.00000;0.43003
(a)>(c)>(d);1.00000;0.44674
(a)>(c)>(e);1.00000;0.44828
(a)>(d)>(e);1.00000;0.45329
(b)>(c)>(d);1.00000;0.46619
(b)>(c)>(e);1.00000;0.45552
(b)>(d)>(e);1.00000;0.45390
(c)>(d)>(e);1.00000;0.45205
(a)>(b)>(c)>(d);1.00000;0.41214
(a)>(b)>(c)>(e);1.00000;0.41042
(a)>(b)>(d)>(e);1.00000;0.40984
(a)>(c)>(d)>(e);1.00000;0.41558
(b)>(c)>(d)>(e);1.00000;0.41667
(a)>(b)>(c)>(d)>(e);1.00000;0.44948
