network_order;cityscapes;coco
(a);0.05086;0.05011
(b);0.05040;0.04929
(c);0.05086;0.04966
(d);0.05476;0.05191
(e);0.05532;0.05185
(a)>(b);0.06161;0.05878
(a)>(c);0.05086;0.05852
(a)>(d);0.06329;0.06039
(a)>(e);0.06420;0.06085
(b)>(c);0.06172;0.05938
(b)>(d);0.06430;0.06085
(b)>(e);0.06522;0.06127
(c)>(d);0.06329;0.06062
(c)>(e);0.06420;0.06082
(d)>(e);0.06385;0.06093
(a)>(b)>(c);0.05072;0.04921
(a)>(b)>(d);0.05167;0.04961
(a)>(b)>(e);0.05143;0.04995
(a)>(c)>(d);0.05076;0.05014
(a)>(c)>(e);0.05072;0.05042
(a)>(d)>(e);0.05368;0.05108
(b)>(c)>(d);0.05167;0.04961
(b)>(c)>(e);0.05132;0.05000
(b)>(d)>(e);0.05386;0.05072
(c)>(d)>(e);0.05368;0.05094
(a)>(b)>(c)>(d);0.05529;0.05412
(a)>(b)>(c)>(e);0.05631;0.05424
(a)>(b)>(d)>(e);0.05772;0.05509
(a)>(c)>(d)>(e);0.05789;0.05528
(b)>(c)>(d)>(e);0.05766;0.05520
(a)>(b)>(c)>(d)>(e);0.05100;0.04893
