network_order;cityscapes;coco
(a);nan;0.26458
(b);nan;0.13542
(c);nan;0.14669
(d);nan;0.33472
(e);nan;0.35000
(a)>(b);nan;0.19917
(a)>(c);nan;0.22889
(a)>(d);nan;0.24556
(a)>(e);nan;0.25833
(b)>(c);nan;0.17049
(b)>(d);nan;0.24271
(b)>(e);nan;0.24271
(c)>(d);nan;0.25000
(c)>(e);nan;0.23704
(d)>(e);nan;0.33472
(a)>(b)>(c);nan;0.27500
(a)>(b)>(d);nan;0.29352
(a)>(b)>(e);nan;0.28750
(a)>(c)>(d);nan;0.23226
(a)>(c)>(e);nan;0.20855
(a)>(d)>(e);nan;0.32593
(b)>(c)>(d);nan;0.30000
(b)>(c)>(e);nan;0.30000
(b)>(d)>(e);nan;0.35000
(c)>(d)>(e);nan;0.35000
(a)>(b)>(c)>(d);nan;0.30185
(a)>(b)>(c)>(e);nan;0.30000
(a)>(b)>(d)>(e);nan;0.33519
(a)>(c)>(d)>(e);nan;0.29259
(b)>(c)>(d)>(e);nan;0.35000
(a)>(b)>(c)>(d)>(e);nan;0.30185
