network_order;cityscapes;coco
(a);0.39030;0.21054
(b);0.38141;0.21778
(c);0.39030;0.21722
(d);0.43448;0.22066
(e);0.38674;0.22307
(a)>(b);0.35297;0.18196
(a)>(c);0.39030;0.17992
(a)>(d);0.37811;0.19068
(a)>(e);0.36110;0.18688
(b)>(c);0.35297;0.17667
(b)>(d);0.36770;0.18595
(b)>(e);0.35348;0.18669
(c)>(d);0.37811;0.18391
(c)>(e);0.36110;0.18215
(d)>(e);0.37887;0.19625
(a)>(b)>(c);0.39030;0.20831
(a)>(b)>(d);0.39690;0.21165
(a)>(b)>(e);0.38141;0.21054
(a)>(c)>(d);0.39030;0.21036
(a)>(c)>(e);0.39030;0.21165
(a)>(d)>(e);0.39893;0.21407
(b)>(c)>(d);0.39614;0.21221
(b)>(c)>(e);0.38141;0.21323
(b)>(d)>(e);0.39385;0.21370
(c)>(d)>(e);0.39893;0.21676
(a)>(b)>(c)>(d);0.38116;0.19402
(a)>(b)>(c)>(e);0.37151;0.19198
(a)>(b)>(d)>(e);0.37583;0.19597
(a)>(c)>(d)>(e);0.38116;0.19718
(b)>(c)>(d)>(e);0.37557;0.19514
(a)>(b)>(c)>(d)>(e);0.39259;0.21156
