network_order;cityscapes;coco
(a);0.05086;0.05083
(b);0.05040;0.05003
(c);0.05086;0.05032
(d);0.05476;0.05257
(e);0.05532;0.05251
(a)>(b);0.06161;0.05966
(a)>(c);0.05086;0.05931
(a)>(d);0.06329;0.06116
(a)>(e);0.06420;0.06164
(b)>(c);0.06172;0.06030
(b)>(d);0.06430;0.06166
(b)>(e);0.06522;0.06211
(c)>(d);0.06329;0.06142
(c)>(e);0.06420;0.06158
(d)>(e);0.06385;0.06160
(a)>(b)>(c);0.05072;0.04993
(a)>(b)>(d);0.05167;0.05041
(a)>(b)>(e);0.05143;0.05078
(a)>(c)>(d);0.05076;0.05087
(a)>(c)>(e);0.05072;0.05113
(a)>(d)>(e);0.05368;0.05183
(b)>(c)>(d);0.05167;0.05028
(b)>(c)>(e);0.05132;0.05072
(b)>(d)>(e);0.05386;0.05154
(c)>(d)>(e);0.05368;0.05169
(a)>(b)>(c)>(d);0.05529;0.05492
(a)>(b)>(c)>(e);0.05631;0.05503
(a)>(b)>(d)>(e);0.05772;0.05590
(a)>(c)>(d)>(e);0.05789;0.05600
(b)>(c)>(d)>(e);0.05766;0.05594
(a)>(b)>(c)>(d)>(e);0.05100;0.04970
