network_order;cityscapes;coco
(a);nan;0.48923
(b);nan;0.49301
(c);nan;0.49219
(d);nan;0.48036
(e);nan;0.48205
(a)>(b);nan;0.49680
(a)>(c);nan;0.49678
(a)>(d);nan;0.49405
(a)>(e);nan;0.49136
(b)>(c);nan;0.49561
(b)>(d);nan;0.48861
(b)>(e);nan;0.48706
(c)>(d);nan;0.49107
(c)>(e);nan;0.49047
(d)>(e);nan;0.48736
(a)>(b)>(c);nan;0.48940
(a)>(b)>(d);nan;0.49856
(a)>(b)>(e);nan;0.49454
(a)>(c)>(d);nan;0.49669
(a)>(c)>(e);nan;0.49599
(a)>(d)>(e);nan;0.49012
(b)>(c)>(d);nan;0.49621
(b)>(c)>(e);nan;0.49938
(b)>(d)>(e);nan;0.48552
(c)>(d)>(e);nan;0.49058
(a)>(b)>(c)>(d);nan;0.49644
(a)>(b)>(c)>(e);nan;0.49530
(a)>(b)>(d)>(e);nan;0.49320
(a)>(c)>(d)>(e);nan;0.49375
(b)>(c)>(d)>(e);nan;0.49057
(a)>(b)>(c)>(d)>(e);nan;0.49348
