network_order;cityscapes;coco
(a);1.00000;0.54077
(b);1.00000;0.56696
(c);1.00000;0.57205
(d);1.00000;0.58150
(e);1.00000;0.58986
(a)>(b);1.00000;0.51931
(a)>(c);1.00000;0.51452
(a)>(d);1.00000;0.52766
(a)>(e);1.00000;0.50644
(b)>(c);1.00000;0.50833
(b)>(d);1.00000;0.53448
(b)>(e);1.00000;0.52609
(c)>(d);1.00000;0.52941
(c)>(e);1.00000;0.51261
(d)>(e);1.00000;0.56140
(a)>(b)>(c);1.00000;0.56332
(a)>(b)>(d);1.00000;0.55895
(a)>(b)>(e);1.00000;0.54077
(a)>(c)>(d);1.00000;0.56522
(a)>(c)>(e);1.00000;0.57018
(a)>(d)>(e);1.00000;0.57709
(b)>(c)>(d);1.00000;0.58222
(b)>(c)>(e);1.00000;0.56889
(b)>(d)>(e);1.00000;0.55895
(c)>(d)>(e);1.00000;0.57642
(a)>(b)>(c)>(d);1.00000;0.54894
(a)>(b)>(c)>(e);1.00000;0.53617
(a)>(b)>(d)>(e);1.00000;0.54113
(a)>(c)>(d)>(e);1.00000;0.55411
(b)>(c)>(d)>(e);1.00000;0.54825
(a)>(b)>(c)>(d)>(e);1.00000;0.56087
