network_order;cityscapes;coco
(a);0.42329;0.43494
(b);0.42606;0.43659
(c);0.42329;0.43590
(d);0.42131;0.43297
(e);0.41995;0.43342
(a)>(b);0.41764;0.42976
(a)>(c);0.42329;0.42941
(a)>(d);0.41390;0.42771
(a)>(e);0.41340;0.42714
(b)>(c);0.41749;0.42922
(b)>(d);0.41581;0.42767
(b)>(e);0.41410;0.42786
(c)>(d);0.41390;0.42735
(c)>(e);0.41340;0.42727
(d)>(e);0.41365;0.42714
(a)>(b)>(c);0.42289;0.43563
(a)>(b)>(d);0.42400;0.43445
(a)>(b)>(e);0.42296;0.43449
(a)>(c)>(d);0.42297;0.43413
(a)>(c)>(e);0.42291;0.43446
(a)>(d)>(e);0.42090;0.43324
(b)>(c)>(d);0.42415;0.43516
(b)>(c)>(e);0.42291;0.43500
(b)>(d)>(e);0.42224;0.43396
(c)>(d)>(e);0.42090;0.43304
(a)>(b)>(c)>(d);0.42011;0.43204
(a)>(b)>(c)>(e);0.41960;0.43227
(a)>(b)>(d)>(e);0.41867;0.43101
(a)>(c)>(d)>(e);0.41774;0.43108
(b)>(c)>(d)>(e);0.41886;0.43128
(a)>(b)>(c)>(d)>(e);0.42275;0.43480
