network_order;cityscapes;coco
(a);0.33888;0.16915
(b);0.32574;0.17577
(c);0.33888;0.17288
(d);0.38693;0.17659
(e);0.32944;0.18008
(a)>(b);0.28927;0.13752
(a)>(c);0.33888;0.13436
(a)>(d);0.31850;0.14469
(a)>(e);0.29664;0.14158
(b)>(c);0.28939;0.13112
(b)>(d);0.30444;0.13978
(b)>(e);0.28562;0.14136
(c)>(d);0.31850;0.13679
(c)>(e);0.29664;0.13558
(d)>(e);0.31591;0.14914
(a)>(b)>(c);0.33888;0.16914
(a)>(b)>(d);0.35256;0.17197
(a)>(b)>(e);0.33561;0.17231
(a)>(c)>(d);0.33888;0.17112
(a)>(c)>(e);0.33888;0.17248
(a)>(d)>(e);0.35538;0.17377
(b)>(c)>(d);0.35220;0.17275
(b)>(c)>(e);0.33561;0.17452
(b)>(d)>(e);0.34876;0.17450
(c)>(d)>(e);0.35538;0.17636
(a)>(b)>(c)>(d);0.32777;0.15272
(a)>(b)>(c)>(e);0.31831;0.15141
(a)>(b)>(d)>(e);0.32592;0.15489
(a)>(c)>(d)>(e);0.32740;0.15559
(b)>(c)>(d)>(e);0.32584;0.15364
(a)>(b)>(c)>(d)>(e);0.34754;0.17321
