network_order;cityscapes;coco
(a);inf;47.25000
(b);inf;95.50000
(c);inf;46.00000
(d);inf;46.75000
(e);inf;94.00000
(a)>(b);inf;39.60000
(a)>(c);inf;38.60000
(a)>(d);inf;38.60000
(a)>(e);inf;48.75000
(b)>(c);inf;47.75000
(b)>(d);inf;48.25000
(b)>(e);inf;48.25000
(c)>(d);inf;31.00000
(c)>(e);inf;63.66667
(d)>(e);inf;47.75000
(a)>(b)>(c);inf;183.00000
(a)>(b)>(d);inf;60.66667
(a)>(b)>(e);inf;90.50000
(a)>(c)>(d);inf;45.00000
(a)>(c)>(e);inf;60.00000
(a)>(d)>(e);inf;60.33333
(b)>(c)>(d);inf;184.00000
(b)>(c)>(e);inf;183.00000
(b)>(d)>(e);inf;90.50000
(c)>(d)>(e);inf;92.00000
(a)>(b)>(c)>(d);inf;61.00000
(a)>(b)>(c)>(e);inf;92.00000
(a)>(b)>(d)>(e);inf;60.66667
(a)>(c)>(d)>(e);inf;60.66667
(b)>(c)>(d)>(e);inf;92.00000
(a)>(b)>(c)>(d)>(e);inf;60.33333
