network_order;cityscapes;coco
(a);0.86547;0.42619
(b);0.86823;0.43843
(c);0.86547;0.45377
(d);0.96498;0.45434
(e);0.88986;0.44847
(a)>(b);0.85793;0.43727
(a)>(c);0.86547;0.44558
(a)>(d);0.88363;0.45368
(a)>(e);0.87798;0.44631
(b)>(c);0.85714;0.44697
(b)>(d);0.88353;0.45412
(b)>(e);0.88570;0.44746
(c)>(d);0.88363;0.46174
(c)>(e);0.87798;0.45621
(d)>(e);0.90515;0.46248
(a)>(b)>(c);0.86547;0.39744
(a)>(b)>(d);0.84421;0.40713
(a)>(b)>(e);0.81363;0.39633
(a)>(c)>(d);0.86547;0.40176
(a)>(c)>(e);0.86547;0.40207
(a)>(d)>(e);0.84537;0.41334
(b)>(c)>(d);0.84020;0.40283
(b)>(c)>(e);0.81363;0.39969
(b)>(d)>(e);0.84039;0.40607
(c)>(d)>(e);0.84537;0.41689
(a)>(b)>(c)>(d);0.85474;0.40306
(a)>(b)>(c)>(e);0.83192;0.39527
(a)>(b)>(d)>(e);0.82303;0.40519
(a)>(c)>(d)>(e);0.85679;0.40823
(b)>(c)>(d)>(e);0.82147;0.40742
(a)>(b)>(c)>(d)>(e);0.83696;0.39602
