network_order;cityscapes;coco
(a);0.60970;0.78946
(b);0.61859;0.78222
(c);0.60970;0.78278
(d);0.56552;0.77934
(e);0.61326;0.77693
(a)>(b);0.64703;0.81804
(a)>(c);0.60970;0.82008
(a)>(d);0.62189;0.80932
(a)>(e);0.63890;0.81312
(b)>(c);0.64703;0.82333
(b)>(d);0.63230;0.81405
(b)>(e);0.64652;0.81331
(c)>(d);0.62189;0.81609
(c)>(e);0.63890;0.81785
(d)>(e);0.62113;0.80375
(a)>(b)>(c);0.60970;0.79169
(a)>(b)>(d);0.60310;0.78835
(a)>(b)>(e);0.61859;0.78946
(a)>(c)>(d);0.60970;0.78964
(a)>(c)>(e);0.60970;0.78835
(a)>(d)>(e);0.60107;0.78593
(b)>(c)>(d);0.60386;0.78779
(b)>(c)>(e);0.61859;0.78677
(b)>(d)>(e);0.60615;0.78630
(c)>(d)>(e);0.60107;0.78324
(a)>(b)>(c)>(d);0.61884;0.80598
(a)>(b)>(c)>(e);0.62849;0.80802
(a)>(b)>(d)>(e);0.62417;0.80403
(a)>(c)>(d)>(e);0.61884;0.80282
(b)>(c)>(d)>(e);0.62443;0.80486
(a)>(b)>(c)>(d)>(e);0.60741;0.78844
