network_order;cityscapes;coco
(a);nan;0.06667
(b);nan;0.12500
(c);nan;0.09708
(d);nan;0.07569
(e);nan;0.12500
(a)>(b);nan;0.10333
(a)>(c);nan;0.06074
(a)>(d);nan;0.05333
(a)>(e);nan;0.06667
(b)>(c);nan;0.10301
(b)>(d);nan;0.13125
(b)>(e);nan;0.12500
(c)>(d);nan;0.08580
(c)>(e);nan;0.09568
(d)>(e);nan;0.06944
(a)>(b)>(c);nan;0.07500
(a)>(b)>(d);nan;0.07500
(a)>(b)>(e);nan;0.11250
(a)>(c)>(d);nan;0.07532
(a)>(c)>(e);nan;0.09209
(a)>(d)>(e);nan;0.08333
(b)>(c)>(d);nan;0.10000
(b)>(c)>(e);nan;0.07500
(b)>(d)>(e);nan;0.12500
(c)>(d)>(e);nan;0.13750
(a)>(b)>(c)>(d);nan;0.08333
(a)>(b)>(c)>(e);nan;0.11250
(a)>(b)>(d)>(e);nan;0.08333
(a)>(c)>(d)>(e);nan;0.08333
(b)>(c)>(d)>(e);nan;0.13750
(a)>(b)>(c)>(d)>(e);nan;0.08333
