network_order;cityscapes;coco
(a);0.61422;0.81029
(b);0.62318;0.80322
(c);0.61422;0.80397
(d);0.56971;0.80054
(e);0.61781;0.79796
(a)>(b);0.65183;0.83951
(a)>(c);0.61422;0.84172
(a)>(d);0.62650;0.83061
(a)>(e);0.64364;0.83428
(b)>(c);0.65183;0.84485
(b)>(d);0.63699;0.83560
(b)>(e);0.65132;0.83449
(c)>(d);0.62650;0.83763
(c)>(e);0.64364;0.83937
(d)>(e);0.62574;0.82542
(a)>(b)>(c);0.61422;0.81318
(a)>(b)>(d);0.60757;0.80957
(a)>(b)>(e);0.62318;0.81040
(a)>(c)>(d);0.61422;0.81092
(a)>(c)>(e);0.61422;0.80970
(a)>(d)>(e);0.60553;0.80731
(b)>(c)>(d);0.60834;0.80939
(b)>(c)>(e);0.62318;0.80812
(b)>(d)>(e);0.61064;0.80731
(c)>(d)>(e);0.60553;0.80467
(a)>(b)>(c)>(d);0.62343;0.82774
(a)>(b)>(c)>(e);0.63315;0.82967
(a)>(b)>(d)>(e);0.62881;0.82539
(a)>(c)>(d)>(e);0.62343;0.82451
(b)>(c)>(d)>(e);0.62906;0.82633
(a)>(b)>(c)>(d)>(e);0.61192;0.80967
