network_order;cityscapes;coco
(a);1.31612;0.74518
(b);1.37151;0.75848
(c);1.31612;0.80631
(d);1.35833;0.79676
(e);1.40828;0.77117
(a)>(b);1.48273;0.86695
(a)>(c);1.31612;0.89794
(a)>(d);1.43487;0.88982
(a)>(e);1.50358;0.87927
(b)>(c);1.48038;0.91175
(b)>(d);1.48755;0.90551
(b)>(e);1.56363;0.88329
(c)>(d);1.43487;0.93451
(c)>(e);1.50358;0.92319
(d)>(e);1.49550;0.89910
(a)>(b)>(c);1.31612;0.66608
(a)>(b)>(d);1.21642;0.68444
(a)>(b)>(e);1.20772;0.65562
(a)>(c)>(d);1.31612;0.67250
(a)>(c)>(e);1.31612;0.66926
(a)>(d)>(e);1.20870;0.69528
(b)>(c)>(d);1.20858;0.66973
(b)>(c)>(e);1.20772;0.65704
(b)>(d)>(e);1.22162;0.67465
(c)>(d)>(e);1.20870;0.69719
(a)>(b)>(c)>(d);1.33238;0.72772
(a)>(b)>(c)>(e);1.31354;0.71061
(a)>(b)>(d)>(e);1.26485;0.72810
(a)>(c)>(d)>(e);1.33853;0.73347
(b)>(c)>(d)>(e);1.26149;0.73738
(a)>(b)>(c)>(d)>(e);1.21823;0.65141
