network_order;cityscapes;coco
(a);2.10954;0.85245
(b);2.06568;0.88381
(c);2.10954;0.89801
(d);2.46251;0.90928
(e);2.11511;0.91246
(a)>(b);1.91484;0.77250
(a)>(c);2.10954;0.77570
(a)>(d);2.06411;0.81722
(a)>(e);1.97377;0.80021
(b)>(c);1.91405;0.76780
(b)>(d);2.01165;0.80106
(b)>(e);1.94501;0.79970
(c)>(d);2.06411;0.80477
(c)>(e);1.97377;0.79425
(d)>(e);2.08953;0.84108
(a)>(b)>(c);2.10954;0.81782
(a)>(b)>(d);2.12379;0.83830
(a)>(b)>(e);2.01108;0.82569
(a)>(c)>(d);2.10954;0.82893
(a)>(c)>(e);2.10954;0.83264
(a)>(d)>(e);2.13604;0.85091
(b)>(c)>(d);2.11564;0.83419
(b)>(c)>(e);2.01108;0.83546
(b)>(d)>(e);2.10348;0.84518
(c)>(d)>(e);2.13604;0.86190
(a)>(b)>(c)>(d);2.05088;0.77894
(a)>(b)>(c)>(e);1.97899;0.76655
(a)>(b)>(d)>(e);1.99186;0.78892
(a)>(c)>(d)>(e);2.05293;0.79370
(b)>(c)>(d)>(e);1.98902;0.78831
(a)>(b)>(c)>(d)>(e);2.09323;0.82736
