network_order;cityscapes;coco
(a);1.00000;0.97790
(b);1.00000;0.98895
(c);1.00000;0.97802
(d);1.00000;0.97802
(e);1.00000;0.98895
(a)>(b);1.00000;0.97253
(a)>(c);1.00000;0.97238
(a)>(d);1.00000;0.97238
(a)>(e);1.00000;0.97814
(b)>(c);1.00000;0.97765
(b)>(d);1.00000;0.97778
(b)>(e);1.00000;0.97765
(c)>(d);1.00000;0.96667
(c)>(e);1.00000;0.98333
(d)>(e);1.00000;0.97790
(a)>(b)>(c);1.00000;0.99444
(a)>(b)>(d);1.00000;0.98352
(a)>(b)>(e);1.00000;0.98889
(a)>(c)>(d);1.00000;0.97790
(a)>(c)>(e);1.00000;0.98343
(a)>(d)>(e);1.00000;0.98343
(b)>(c)>(d);1.00000;0.99444
(b)>(c)>(e);1.00000;0.99448
(b)>(d)>(e);1.00000;0.98883
(c)>(d)>(e);1.00000;0.98895
(a)>(b)>(c)>(d);1.00000;0.98333
(a)>(b)>(c)>(e);1.00000;0.98889
(a)>(b)>(d)>(e);1.00000;0.98333
(a)>(c)>(d)>(e);1.00000;0.98343
(b)>(c)>(d)>(e);1.00000;0.98883
(a)>(b)>(c)>(d)>(e);1.00000;0.98343
