network_order;cityscapes;coco
(a);0.89603;0.90145
(b);0.89650;0.90265
(c);0.89603;0.90155
(d);0.88940;0.89817
(e);0.88826;0.89800
(a)>(b);0.87865;0.88729
(a)>(c);0.89603;0.88749
(a)>(d);0.87653;0.88459
(a)>(e);0.87488;0.88393
(b)>(c);0.87845;0.88600
(b)>(d);0.87433;0.88406
(b)>(e);0.87334;0.88311
(c)>(d);0.87653;0.88412
(c)>(e);0.87488;0.88373
(d)>(e);0.87495;0.88367
(a)>(b)>(c);0.89642;0.90313
(a)>(b)>(d);0.89524;0.90283
(a)>(b)>(e);0.89571;0.90213
(a)>(c)>(d);0.89638;0.90172
(a)>(c)>(e);0.89642;0.90116
(a)>(d)>(e);0.89172;0.90011
(b)>(c)>(d);0.89508;0.90249
(b)>(c)>(e);0.89596;0.90189
(b)>(d)>(e);0.89120;0.90044
(c)>(d)>(e);0.89172;0.90031
(a)>(b)>(c)>(d);0.88912;0.89509
(a)>(b)>(c)>(e);0.88752;0.89476
(a)>(b)>(d)>(e);0.88535;0.89357
(a)>(c)>(d)>(e);0.88517;0.89312
(b)>(c)>(d)>(e);0.88539;0.89332
(a)>(b)>(c)>(d)>(e);0.89655;0.90378
