network_order;cityscapes;coco
(a);nan;0.30792
(b);nan;0.30305
(c);nan;0.30440
(d);nan;0.31238
(e);nan;0.30408
(a)>(b);nan;0.29392
(a)>(c);nan;0.29573
(a)>(d);nan;0.30329
(a)>(e);nan;0.30045
(b)>(c);nan;0.29166
(b)>(d);nan;0.30209
(b)>(e);nan;0.29822
(c)>(d);nan;0.29723
(c)>(e);nan;0.29610
(d)>(e);nan;0.30477
(a)>(b)>(c);nan;0.30649
(a)>(b)>(d);nan;0.29765
(a)>(b)>(e);nan;0.29957
(a)>(c)>(d);nan;0.30307
(a)>(c)>(e);nan;0.30006
(a)>(d)>(e);nan;0.30223
(b)>(c)>(d);nan;0.30427
(b)>(c)>(e);nan;0.29787
(b)>(d)>(e);nan;0.30526
(c)>(d)>(e);nan;0.29968
(a)>(b)>(c)>(d);nan;0.29939
(a)>(b)>(c)>(e);nan;0.29750
(a)>(b)>(d)>(e);nan;0.29966
(a)>(c)>(d)>(e);nan;0.30111
(b)>(c)>(d)>(e);nan;0.30278
(a)>(b)>(c)>(d)>(e);nan;0.30185
