network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.78946;0.78946;0.78946;0.00000;nan;0.78946;0.78946
(b);0.78222;0.78222;0.78222;0.00000;nan;0.78222;0.78222
(c);0.78278;0.78278;0.78278;0.00000;nan;0.78278;0.78278
(d);0.77934;0.77934;0.77934;0.00000;nan;0.77934;0.77934
(e);0.77693;0.77693;0.77693;0.00000;nan;0.77693;0.77693
(a)>(b);0.81804;0.81804;0.81804;0.75244;0.75494;0.75244;0.81804
(a)>(c);0.82008;0.82008;0.82008;0.75179;0.75355;0.75179;0.82008
(a)>(d);0.80932;0.80932;0.80932;0.75967;0.76042;0.75967;0.80932
(a)>(e);0.81312;0.81312;0.81312;0.75216;0.75373;0.75216;0.81312
(b)>(c);0.82333;0.82333;0.82333;0.74232;0.74557;0.74232;0.82333
(b)>(d);0.81405;0.81405;0.81405;0.74733;0.74807;0.74733;0.81405
(b)>(e);0.81331;0.81331;0.81331;0.74603;0.74798;0.74603;0.81331
(c)>(d);0.81609;0.81609;0.81609;0.74650;0.74900;0.74650;0.81609
(c)>(e);0.81785;0.81785;0.81785;0.74093;0.74427;0.74093;0.81785
(d)>(e);0.80375;0.80375;0.80375;0.75281;0.75364;0.75281;0.80375
(a)>(b)>(c);0.83641;0.79104;0.79169;0.78556;0.73221;0.72701;0.83576
(a)>(b)>(d);0.82732;0.78723;0.78835;0.78417;0.73917;0.73527;0.82630
(a)>(b)>(e);0.82899;0.78797;0.78946;0.78389;0.73508;0.73007;0.82769
(a)>(c)>(d);0.83066;0.78705;0.78964;0.78398;0.73870;0.73360;0.82834
(a)>(c)>(e);0.83353;0.78612;0.78835;0.78222;0.73351;0.72766;0.83168
(a)>(d)>(e);0.82314;0.78417;0.78593;0.78046;0.74279;0.73842;0.82129
(b)>(c)>(d);0.83446;0.78640;0.78779;0.78269;0.72794;0.72265;0.83288
(b)>(c)>(e);0.83520;0.78658;0.78677;0.78064;0.72562;0.72042;0.83465
(b)>(d)>(e);0.82583;0.78436;0.78630;0.78046;0.73360;0.72961;0.82407
(c)>(d)>(e);0.82834;0.78315;0.78324;0.77842;0.73156;0.72692;0.82825
(a)>(b)>(c)>(d);0.84151;0.80375;0.80598;0.80338;0.77368;0.71551;0.83947
(a)>(b)>(c)>(e);0.84328;0.80523;0.80802;0.80458;0.77201;0.71142;0.84077
(a)>(b)>(d)>(e);0.83474;0.80171;0.80403;0.80087;0.77155;0.72089;0.83251
(a)>(c)>(d)>(e);0.83957;0.79948;0.80282;0.79920;0.77220;0.71810;0.83641
(b)>(c)>(d)>(e);0.84059;0.80328;0.80486;0.80264;0.76719;0.71049;0.83919
(a)>(b)>(c)>(d)>(e);0.81646;0.78751;0.78844;0.78621;0.75995;0.70437;0.84346
