network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.74518;0.74518;0.74518;inf;nan;0.74518;0.74518
(b);0.75848;0.75848;0.75848;inf;nan;0.75848;0.75848
(c);0.80631;0.80631;0.80631;inf;nan;0.80631;0.80631
(d);0.79676;0.79676;0.79676;inf;nan;0.79676;0.79676
(e);0.77117;0.77117;0.77117;inf;nan;0.77117;0.77117
(a)>(b);0.86695;0.86695;0.86695;1.16993;0.61664;0.63164;0.86695
(a)>(c);0.89794;0.89794;0.89794;1.21365;0.63404;0.64305;0.89794
(a)>(d);0.88982;0.88982;0.88982;1.11775;0.63978;0.64175;0.88982
(a)>(e);0.87927;0.87927;0.87927;1.16112;0.62403;0.63040;0.87927
(b)>(c);0.91175;0.91175;0.91175;1.29513;0.61419;0.63062;0.91175
(b)>(d);0.90551;0.90551;0.90551;1.22684;0.62739;0.63459;0.90551
(b)>(e);0.88329;0.88329;0.88329;1.19602;0.62312;0.63445;0.88329
(c)>(d);0.93451;0.93451;0.93451;1.24947;0.64395;0.65879;0.93451
(c)>(e);0.92319;0.92319;0.92319;1.28103;0.62785;0.64646;0.92319
(d)>(e);0.89910;0.89910;0.89910;1.13115;0.65304;0.65783;0.89910
(a)>(b)>(c);0.99101;0.66956;0.66608;0.69927;0.59004;0.61978;0.66956
(a)>(b)>(d);0.98228;0.68788;0.68444;0.70619;0.58976;0.61068;0.68788
(a)>(b)>(e);0.97560;0.66439;0.65562;0.68442;0.59025;0.61833;0.66439
(a)>(c)>(d);1.00815;0.68616;0.67250;0.70162;0.60394;0.63332;0.68616
(a)>(c)>(e);1.00056;0.68142;0.66926;0.70012;0.59405;0.62599;0.68142
(a)>(d)>(e);0.96934;0.70512;0.69528;0.72500;0.58988;0.61360;0.70512
(b)>(c)>(d);1.03403;0.67587;0.66973;0.69769;0.59324;0.62571;0.67587
(b)>(c)>(e);1.02289;0.65778;0.65704;0.68893;0.59642;0.62609;0.65778
(b)>(d)>(e);0.99157;0.68556;0.67465;0.70753;0.59423;0.61859;0.68556
(c)>(d)>(e);1.02554;0.69739;0.69719;0.72094;0.60781;0.63569;0.69739
(a)>(b)>(c)>(d);1.08909;0.73770;0.72772;0.74163;0.61094;0.62288;0.73770
(a)>(b)>(c)>(e);1.08374;0.72448;0.71061;0.72691;0.60036;0.62789;0.72448
(a)>(b)>(d)>(e);1.05569;0.74144;0.72810;0.74499;0.61792;0.61115;0.74144
(a)>(c)>(d)>(e);1.08035;0.75081;0.73347;0.75073;0.61944;0.62708;0.75081
(b)>(c)>(d)>(e);1.10928;0.74460;0.73738;0.74740;0.60498;0.63275;0.74460
(a)>(b)>(c)>(d)>(e);0.77441;0.65583;0.65141;0.66352;0.58327;0.63272;0.66631
