;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.14630;0.14630;0.14630;nan;nan
0-1-0-0-0-0-0-0-0-0;0.23335;0.23335;0.23335;nan;nan
0-0-1-0-0-0-0-0-0-0;0.13889;0.13889;0.13889;nan;nan
0-0-0-0-0-0-1-0-0-0;0.12083;0.12083;0.12083;nan;nan
0-0-0-0-0-0-0-0-0-1;0.17188;0.17188;0.17188;nan;nan
1-2-0-0-0-0-0-0-0-0;0.24447;0.24447;0.24447;0.15772;0.14815
1-0-2-0-0-0-0-0-0-0;0.14333;0.14333;0.14333;nan;nan
1-0-0-0-0-0-2-0-0-0;0.16019;0.16019;0.16019;0.07500;nan
1-0-0-0-0-0-0-0-0-2;0.15653;0.15653;0.15653;nan;nan
0-1-2-0-0-0-0-0-0-0;0.16019;0.16019;0.16019;0.33333;nan
0-1-0-0-0-0-2-0-0-0;0.17245;0.17245;0.17245;0.22981;0.17500
0-1-0-0-0-0-0-0-0-2;0.17338;0.17338;0.17338;0.38462;nan
0-0-1-0-0-0-2-0-0-0;0.12986;0.12986;0.12986;0.33333;nan
0-0-1-0-0-0-0-0-0-2;0.11458;0.11458;0.11458;0.25000;nan
0-0-0-0-0-0-1-0-0-2;0.13958;0.13958;0.13958;0.16667;nan
1-2-3-0-0-0-0-0-0-0;0.15023;0.14815;0.14815;0.20162;nan
1-2-0-0-0-0-3-0-0-0;0.14745;0.14815;0.12407;0.20819;0.10000
1-2-0-0-0-0-0-0-0-3;0.16672;0.14815;0.14815;0.21444;nan
1-0-2-0-0-0-3-0-0-0;0.15167;nan;nan;0.20417;nan
1-0-2-0-0-0-0-0-0-3;0.13044;nan;nan;0.25000;nan
1-0-0-0-0-0-2-0-0-3;0.16441;nan;nan;0.12083;nan
0-1-2-0-0-0-3-0-0-0;0.19317;0.17500;0.27981;0.20417;0.38462
0-1-2-0-0-0-0-0-0-3;0.14448;nan;nan;0.29167;nan
0-1-0-0-0-0-2-0-0-3;0.17338;0.17500;0.17500;0.20021;nan
0-0-1-0-0-0-2-0-0-3;0.10469;nan;nan;0.25000;nan
1-2-3-0-0-0-4-0-0-0;0.17889;0.14815;0.21092;0.19537;0.24231
1-2-3-0-0-0-0-0-0-4;0.13338;0.14815;0.14815;0.21130;nan
1-2-0-0-0-0-3-0-0-4;0.15338;0.14815;0.12407;0.19476;0.10000
1-0-2-0-0-0-3-0-0-4;0.13153;nan;nan;0.20625;nan
0-1-2-0-0-0-3-0-0-4;0.14448;0.17500;0.17500;0.21266;nan
1-2-3-0-0-0-4-0-0-5;0.12407;nan;0.10000;0.21699;nan
