;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.90104;0.90104;0.90104;nan;nan
0-1-0-0-0-0-0-0-0-0;0.90300;0.90300;0.90300;nan;nan
0-0-1-0-0-0-0-0-0-0;0.90296;0.90296;0.90296;nan;nan
0-0-0-0-0-0-1-0-0-0;0.89964;0.89964;0.89964;nan;nan
0-0-0-0-0-0-0-0-0-1;0.90409;0.90409;0.90409;nan;nan
1-2-0-0-0-0-0-0-0-0;0.88855;0.88855;0.88855;0.91890;0.89036
1-0-2-0-0-0-0-0-0-0;0.88597;0.88597;0.88597;0.92270;0.88895
1-0-0-0-0-0-2-0-0-0;0.88289;0.88289;0.88289;0.92259;0.88583
1-0-0-0-0-0-0-0-0-2;0.88564;0.88564;0.88564;0.92555;0.88881
0-1-2-0-0-0-0-0-0-0;0.88884;0.88884;0.88884;0.92124;0.89121
0-1-0-0-0-0-2-0-0-0;0.88551;0.88551;0.88551;0.92135;0.88807
0-1-0-0-0-0-0-0-0-2;0.88736;0.88736;0.88736;0.92456;0.88991
0-0-1-0-0-0-2-0-0-0;0.88617;0.88617;0.88617;0.91946;0.88836
0-0-1-0-0-0-0-0-0-2;0.88864;0.88864;0.88864;0.92265;0.89117
0-0-0-0-0-0-1-0-0-2;0.88526;0.88526;0.88526;0.92325;0.88772
1-2-3-0-0-0-0-0-0-0;0.90064;0.88091;0.90278;0.92594;0.90781
1-2-0-0-0-0-3-0-0-0;0.90012;0.87825;0.90244;0.92610;0.90767
1-2-0-0-0-0-0-0-0-3;0.90123;0.87995;0.90388;0.92834;0.90924
1-0-2-0-0-0-3-0-0-0;0.89994;0.87744;0.90254;0.92699;0.90802
1-0-2-0-0-0-0-0-0-3;0.90100;0.87938;0.90427;0.92896;0.90997
1-0-0-0-0-0-2-0-0-3;0.90052;0.87669;0.90385;0.92965;0.90953
0-1-2-0-0-0-3-0-0-0;0.90069;0.87976;0.90259;0.92551;0.90815
0-1-2-0-0-0-0-0-0-3;0.90153;0.88123;0.90421;0.92798;0.90978
0-1-0-0-0-0-2-0-0-3;0.90066;0.87861;0.90384;0.92878;0.90929
0-0-1-0-0-0-2-0-0-3;0.90146;0.87933;0.90423;0.92751;0.90874
1-2-3-0-0-0-4-0-0-0;0.89387;0.87304;0.89504;0.91400;0.89803
1-2-3-0-0-0-0-0-0-4;0.89447;0.87446;0.89634;0.91598;0.89920
1-2-0-0-0-0-3-0-0-4;0.89397;0.87169;0.89558;0.91567;0.89891
1-0-2-0-0-0-3-0-0-4;0.89363;0.87171;0.89574;0.91589;0.89857
0-1-2-0-0-0-3-0-0-4;0.89488;0.87352;0.89650;0.91556;0.89945
1-2-3-0-0-0-4-0-0-5;0.90299;0.88826;0.90546;0.92082;0.90737
