network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.05212;0.05212;0.05212;nan;nan;0.05212;0.05212
(b);0.05217;0.05217;0.05217;nan;nan;0.05217;0.05217
(c);0.05501;0.05501;0.05501;nan;nan;0.05501;0.05501
(d);0.05460;0.05460;0.05460;nan;nan;0.05460;0.05460
(e);0.05530;0.05530;0.05530;nan;nan;0.05530;0.05530
(a)>(b);0.04504;0.04504;0.04504;0.06091;0.04211;0.06091;0.04504
(a)>(c);0.04686;0.04686;0.04686;0.06189;0.04386;0.06189;0.04686
(a)>(d);0.04561;0.04561;0.04561;0.06233;0.04322;0.06233;0.04561
(a)>(e);0.04560;0.04560;0.04560;0.06328;0.04295;0.06328;0.04560
(b)>(c);0.04610;0.04610;0.04610;0.06314;0.04245;0.06314;0.04610
(b)>(d);0.04502;0.04502;0.04502;0.06340;0.04194;0.06340;0.04502
(b)>(e);0.04501;0.04501;0.04501;0.06419;0.04199;0.06419;0.04501
(c)>(d);0.04704;0.04704;0.04704;0.06434;0.04383;0.06434;0.04704
(c)>(e);0.04710;0.04710;0.04710;0.06499;0.04373;0.06499;0.04710
(d)>(e);0.04774;0.04774;0.04774;0.06337;0.04562;0.06337;0.04774
(a)>(b)>(c);0.05309;0.04046;0.05130;0.06866;0.05037;0.06684;0.04046
(a)>(b)>(d);0.05258;0.03976;0.05104;0.06913;0.05023;0.06744;0.03976
(a)>(b)>(e);0.05275;0.03969;0.05121;0.06965;0.05030;0.06798;0.03969
(a)>(c)>(d);0.05384;0.04104;0.05203;0.06943;0.05116;0.06788;0.04104
(a)>(c)>(e);0.05392;0.04079;0.05204;0.07011;0.05136;0.06861;0.04079
(a)>(d)>(e);0.05362;0.04117;0.05238;0.06935;0.05156;0.06783;0.04117
(b)>(c)>(d);0.05361;0.04006;0.05175;0.07107;0.05068;0.06887;0.04006
(b)>(c)>(e);0.05378;0.04001;0.05186;0.07156;0.05074;0.06945;0.04001
(b)>(d)>(e);0.05389;0.04017;0.05243;0.07043;0.05158;0.06882;0.04017
(c)>(d)>(e);0.05483;0.04166;0.05314;0.07090;0.05223;0.06919;0.04166
(a)>(b)>(c)>(d);0.04978;0.03863;0.04810;0.05969;0.04737;0.07125;0.03863
(a)>(b)>(c)>(e);0.04971;0.03859;0.04816;0.06012;0.04721;0.07177;0.03859
(a)>(b)>(d)>(e);0.04923;0.03853;0.04796;0.05984;0.04711;0.07146;0.03853
(a)>(c)>(d)>(e);0.05037;0.03948;0.04870;0.06049;0.04791;0.07174;0.03948
(b)>(c)>(d)>(e);0.04996;0.03875;0.04842;0.06124;0.04747;0.07247;0.03875
(a)>(b)>(c)>(d)>(e);0.05249;0.04363;0.05202;0.06243;0.05093;0.07432;0.03646
