;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;144;144;144;167;0
0-1-0-0-0-0-0-0-0-0;140;140;140;167;0
0-0-1-0-0-0-0-0-0-0;135;135;135;167;0
0-0-0-0-0-0-1-0-0-0;140;140;140;167;0
0-0-0-0-0-0-0-0-0-1;132;132;132;167;0
1-2-0-0-0-0-0-0-0-0;134;134;134;150;148
1-0-2-0-0-0-0-0-0-0;130;130;130;149;148
1-0-0-0-0-0-2-0-0-0;133;133;133;151;149
1-0-0-0-0-0-0-0-0-2;127;127;127;148;148
0-1-2-0-0-0-0-0-0-0;133;133;133;143;143
0-1-0-0-0-0-2-0-0-0;134;134;134;146;146
0-1-0-0-0-0-0-0-0-2;129;129;129;143;142
0-0-1-0-0-0-2-0-0-0;130;130;130;147;146
0-0-1-0-0-0-0-0-0-2;125;125;125;142;142
0-0-0-0-0-0-1-0-0-2;129;129;129;144;144
1-2-3-0-0-0-0-0-0-0;128;140;140;142;149
1-2-0-0-0-0-3-0-0-0;130;142;143;144;151
1-2-0-0-0-0-0-0-0-3;126;138;138;139;150
1-0-2-0-0-0-3-0-0-0;126;140;140;142;151
1-0-2-0-0-0-0-0-0-3;122;138;138;139;150
1-0-0-0-0-0-2-0-0-3;124;140;140;142;150
0-1-2-0-0-0-3-0-0-0;128;141;141;142;147
0-1-2-0-0-0-0-0-0-3;124;138;138;139;144
0-1-0-0-0-0-2-0-0-3;126;141;141;141;146
0-0-1-0-0-0-2-0-0-3;122;138;138;139;146
1-2-3-0-0-0-4-0-0-0;125;138;139;139;144
1-2-3-0-0-0-0-0-0-4;121;137;137;137;140
1-2-0-0-0-0-3-0-0-4;123;135;135;136;145
1-0-2-0-0-0-3-0-0-4;120;134;134;134;144
0-1-2-0-0-0-3-0-0-4;122;135;136;136;144
1-2-3-0-0-0-4-0-0-5;133;140;140;141;145
