;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;84;84;84;0;0
0-1-0-0-0-0-0-0-0-0;86;86;86;0;0
0-0-1-0-0-0-0-0-0-0;94;94;94;0;0
0-0-0-0-0-0-1-0-0-0;91;91;91;0;0
0-0-0-0-0-0-0-0-0-1;99;99;99;0;0
1-2-0-0-0-0-0-0-0-0;106;106;106;66;70
1-0-2-0-0-0-0-0-0-0;113;113;113;66;65
1-0-0-0-0-0-2-0-0-0;111;111;111;67;70
1-0-0-0-0-0-0-0-0-2;119;119;119;65;65
0-1-2-0-0-0-0-0-0-0;108;108;108;73;72
0-1-0-0-0-0-2-0-0-0;108;108;108;70;71
0-1-0-0-0-0-0-0-0-2;114;114;114;70;73
0-0-1-0-0-0-2-0-0-0;108;108;108;75;75
0-0-1-0-0-0-0-0-0-2;115;115;115;78;77
0-0-0-0-0-0-1-0-0-2;112;112;112;76;76
1-2-3-0-0-0-0-0-0-0;119;90;89;88;58
1-2-0-0-0-0-3-0-0-0;118;89;89;85;60
1-2-0-0-0-0-0-0-0-3;122;94;93;90;56
1-0-2-0-0-0-3-0-0-0;123;88;89;88;62
1-0-2-0-0-0-0-0-0-3;127;90;89;91;57
1-0-0-0-0-0-2-0-0-3;125;88;86;86;60
0-1-2-0-0-0-3-0-0-0;118;88;88;88;65
0-1-2-0-0-0-0-0-0-3;123;92;92;91;65
0-1-0-0-0-0-2-0-0-3;121;87;86;86;64
0-0-1-0-0-0-2-0-0-3;123;94;94;94;69
1-2-3-0-0-0-4-0-0-0;126;99;98;98;78
1-2-3-0-0-0-0-0-0-4;131;100;100;100;82
1-2-0-0-0-0-3-0-0-4;129;103;103;102;76
1-0-2-0-0-0-3-0-0-4;132;103;104;106;77
0-1-2-0-0-0-3-0-0-4;129;100;100;100;81
1-2-3-0-0-0-4-0-0-5;111;88;88;88;74
