network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.72245;0.72245;0.72245;0.00000;nan;0.72245;0.72245
(b);0.71745;0.71745;0.71745;0.00000;nan;0.71745;0.71745
(c);0.70904;0.70904;0.70904;0.00000;nan;0.70904;0.70904
(d);0.70874;0.70874;0.70874;0.00000;nan;0.70874;0.70874
(e);0.71121;0.71121;0.71121;0.00000;nan;0.71121;0.71121
(a)>(b);0.71934;0.71934;0.71934;0.72148;0.72345;0.71960;0.71934
(a)>(c);0.71448;0.71448;0.71448;0.71938;0.71963;0.71700;0.71448
(a)>(d);0.70954;0.70954;0.70954;0.72492;0.72236;0.72272;0.70954
(a)>(e);0.71279;0.71279;0.71279;0.72248;0.72195;0.72041;0.71279
(b)>(c);0.71402;0.71402;0.71402;0.71582;0.71819;0.71414;0.71402
(b)>(d);0.71044;0.71044;0.71044;0.71793;0.71760;0.71632;0.71044
(b)>(e);0.71274;0.71274;0.71274;0.71748;0.71809;0.71587;0.71274
(c)>(d);0.70568;0.70568;0.70568;0.71522;0.71555;0.71221;0.70568
(c)>(e);0.70847;0.70847;0.70847;0.71259;0.71576;0.71067;0.70847
(d)>(e);0.70517;0.70517;0.70517;0.71898;0.71678;0.71622;0.70517
(a)>(b)>(c);0.70842;0.73535;0.73620;0.72776;0.71365;0.70629;0.73535
(a)>(b)>(d);0.70541;0.72941;0.73107;0.72608;0.71856;0.71275;0.72941
(a)>(b)>(e);0.70653;0.73406;0.73650;0.72907;0.71624;0.70871;0.73406
(a)>(c)>(d);0.70166;0.72995;0.73389;0.72704;0.71569;0.70847;0.72995
(a)>(c)>(e);0.70401;0.73079;0.73389;0.72611;0.71435;0.70612;0.73079
(a)>(d)>(e);0.70373;0.72521;0.72804;0.72097;0.72078;0.71464;0.72521
(b)>(c)>(d);0.70028;0.73152;0.73357;0.72688;0.71133;0.70302;0.73152
(b)>(c)>(e);0.70199;0.73432;0.73498;0.72687;0.70957;0.70172;0.73432
(b)>(d)>(e);0.70230;0.72811;0.73109;0.72301;0.71478;0.70853;0.72811
(c)>(d)>(e);0.69769;0.72611;0.72653;0.72033;0.71140;0.70432;0.72611
(a)>(b)>(c)>(d);0.69548;0.73029;0.73383;0.73130;0.73504;0.69908;0.73029
(a)>(b)>(c)>(e);0.69656;0.73362;0.73750;0.73393;0.73598;0.69592;0.73362
(a)>(b)>(d)>(e);0.69711;0.72830;0.73216;0.72887;0.73266;0.70423;0.72830
(a)>(c)>(d)>(e);0.69459;0.72606;0.73099;0.72668;0.73335;0.70011;0.72606
(b)>(c)>(d)>(e);0.69158;0.72846;0.73102;0.72902;0.73313;0.69458;0.72846
(a)>(b)>(c)>(d)>(e);0.73149;0.73490;0.73681;0.73408;0.73206;0.69081;0.73211
