;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.60736;0.60736;0.60736;0.00000;nan
0-1-0-0-0-0-0-0-0-0;0.60983;0.60983;0.60983;0.00000;nan
0-0-1-0-0-0-0-0-0-0;0.62443;0.62443;0.62443;0.00000;nan
0-0-0-0-0-0-1-0-0-0;0.61131;0.61131;0.61131;0.00000;nan
0-0-0-0-0-0-0-0-0-1;0.61835;0.61835;0.61835;0.00000;nan
1-2-0-0-0-0-0-0-0-0;0.60948;0.60948;0.60948;0.55285;0.61186
1-0-2-0-0-0-0-0-0-0;0.62066;0.62066;0.62066;0.54224;0.61467
1-0-0-0-0-0-2-0-0-0;0.61361;0.61361;0.61361;0.53526;0.60982
1-0-0-0-0-0-0-0-0-2;0.61804;0.61804;0.61804;0.52982;0.61094
0-1-2-0-0-0-0-0-0-0;0.62279;0.62279;0.62279;0.54710;0.61338
0-1-0-0-0-0-2-0-0-0;0.61900;0.61900;0.61900;0.54038;0.60774
0-1-0-0-0-0-0-0-0-2;0.62225;0.62225;0.62225;0.53447;0.61080
0-0-1-0-0-0-2-0-0-0;0.62085;0.62085;0.62085;0.56434;0.61599
0-0-1-0-0-0-0-0-0-2;0.62873;0.62873;0.62873;0.55451;0.61764
0-0-0-0-0-0-1-0-0-2;0.62180;0.62180;0.62180;0.54566;0.61200
1-2-3-0-0-0-0-0-0-0;0.61449;0.62680;0.62924;0.61957;0.60793
1-2-0-0-0-0-3-0-0-0;0.61140;0.62287;0.62614;0.61422;0.60453
1-2-0-0-0-0-0-0-0-3;0.61283;0.62709;0.62926;0.61775;0.60439
1-0-2-0-0-0-3-0-0-0;0.61513;0.62908;0.63268;0.62188;0.60776
1-0-2-0-0-0-0-0-0-3;0.61957;0.63336;0.63716;0.62415;0.60699
1-0-0-0-0-0-2-0-0-3;0.61347;0.62754;0.63141;0.61983;0.60360
0-1-2-0-0-0-3-0-0-0;0.61902;0.62704;0.63119;0.62205;0.60701
0-1-2-0-0-0-0-0-0-3;0.62201;0.63299;0.63562;0.62523;0.60543
0-1-0-0-0-0-2-0-0-3;0.61824;0.62818;0.63143;0.62147;0.60172
0-0-1-0-0-0-2-0-0-3;0.62220;0.62837;0.63050;0.62306;0.60991
1-2-3-0-0-0-4-0-0-0;0.61009;0.62952;0.63537;0.63137;0.62704
1-2-3-0-0-0-0-0-0-4;0.61223;0.63218;0.63713;0.63268;0.63036
1-2-0-0-0-0-3-0-0-4;0.60881;0.63070;0.63621;0.63160;0.62583
1-0-2-0-0-0-3-0-0-4;0.61260;0.63350;0.63983;0.63504;0.63019
0-1-2-0-0-0-3-0-0-4;0.61559;0.63110;0.63632;0.63350;0.62995
1-2-3-0-0-0-4-0-0-5;0.63773;0.63579;0.63835;0.63244;0.62324
