;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.05002;0.05002;0.05002;nan;nan
0-1-0-0-0-0-0-0-0-0;0.04892;0.04892;0.04892;nan;nan
0-0-1-0-0-0-0-0-0-0;0.04952;0.04952;0.04952;nan;nan
0-0-0-0-0-0-1-0-0-0;0.05117;0.05117;0.05117;nan;nan
0-0-0-0-0-0-0-0-0-1;0.04859;0.04859;0.04859;nan;nan
1-2-0-0-0-0-0-0-0-0;0.05768;0.05768;0.05768;0.04011;0.05696
1-0-2-0-0-0-0-0-0-0;0.05946;0.05946;0.05946;0.03828;0.05839
1-0-0-0-0-0-2-0-0-0;0.06126;0.06126;0.06126;0.03810;0.06015
1-0-0-0-0-0-0-0-0-2;0.05961;0.05961;0.05961;0.03664;0.05850
0-1-2-0-0-0-0-0-0-0;0.05788;0.05788;0.05788;0.03901;0.05705
0-1-0-0-0-0-2-0-0-0;0.05974;0.05974;0.05974;0.03877;0.05879
0-1-0-0-0-0-0-0-0-2;0.05865;0.05865;0.05865;0.03713;0.05772
0-0-1-0-0-0-2-0-0-0;0.05962;0.05962;0.05962;0.03995;0.05886
0-0-1-0-0-0-0-0-0-2;0.05808;0.05808;0.05808;0.03829;0.05714
0-0-0-0-0-0-1-0-0-2;0.06009;0.06009;0.06009;0.03786;0.05917
1-2-3-0-0-0-0-0-0-0;0.05053;0.06304;0.04963;0.03607;0.04707
1-2-0-0-0-0-3-0-0-0;0.05078;0.06457;0.04967;0.03581;0.04706
1-2-0-0-0-0-0-0-0-3;0.05006;0.06360;0.04882;0.03470;0.04620
1-0-2-0-0-0-3-0-0-0;0.05096;0.06547;0.04986;0.03546;0.04700
1-0-2-0-0-0-0-0-0-3;0.05026;0.06429;0.04881;0.03449;0.04594
1-0-0-0-0-0-2-0-0-3;0.05051;0.06598;0.04903;0.03396;0.04612
0-1-2-0-0-0-3-0-0-0;0.05052;0.06398;0.04979;0.03625;0.04687
0-1-2-0-0-0-0-0-0-3;0.05002;0.06316;0.04890;0.03501;0.04596
0-1-0-0-0-0-2-0-0-3;0.05054;0.06478;0.04913;0.03452;0.04623
0-0-1-0-0-0-2-0-0-3;0.05024;0.06440;0.04904;0.03519;0.04667
1-2-3-0-0-0-4-0-0-0;0.05456;0.06806;0.05415;0.04279;0.05263
1-2-3-0-0-0-0-0-0-4;0.05415;0.06724;0.05338;0.04180;0.05196
1-2-0-0-0-0-3-0-0-4;0.05446;0.06894;0.05371;0.04181;0.05215
1-0-2-0-0-0-3-0-0-4;0.05467;0.06914;0.05376;0.04180;0.05244
0-1-2-0-0-0-3-0-0-4;0.05401;0.06798;0.05340;0.04203;0.05196
1-2-3-0-0-0-4-0-0-5;0.04931;0.05874;0.04809;0.03916;0.04732
