;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.20557;0.20557;0.20557;0.00000;nan
0-1-0-0-0-0-0-0-0-0;0.18705;0.18705;0.18705;0.00000;nan
0-0-1-0-0-0-0-0-0-0;0.16423;0.16423;0.16423;0.00000;nan
0-0-0-0-0-0-1-0-0-0;0.17794;0.17794;0.17794;0.00000;nan
0-0-0-0-0-0-0-0-0-1;0.19512;0.19512;0.19512;0.00000;nan
1-2-0-0-0-0-0-0-0-0;0.23810;0.23810;0.23810;0.15294;0.11020
1-0-2-0-0-0-0-0-0-0;0.24299;0.24299;0.24299;0.12245;0.10127
1-0-0-0-0-0-2-0-0-0;0.23988;0.23988;0.23988;0.11741;0.06809
1-0-0-0-0-0-0-0-0-2;0.27003;0.27003;0.27003;0.11250;0.07391
0-1-2-0-0-0-0-0-0-0;0.24214;0.24214;0.24214;0.08861;0.09664
0-1-0-0-0-0-2-0-0-0;0.22436;0.22436;0.22436;0.12551;0.08439
0-1-0-0-0-0-0-0-0-2;0.25688;0.25688;0.25688;0.11250;0.08120
0-0-1-0-0-0-2-0-0-0;0.21711;0.21711;0.21711;0.11905;0.08678
0-0-1-0-0-0-0-0-0-2;0.24765;0.24765;0.24765;0.10569;0.08750
0-0-0-0-0-0-1-0-0-2;0.25155;0.25155;0.25155;0.09465;0.07173
1-2-3-0-0-0-0-0-0-0;0.27566;0.14498;0.15809;0.18440;0.08811
1-2-0-0-0-0-3-0-0-0;0.27059;0.12500;0.13433;0.19366;0.09052
1-2-0-0-0-0-0-0-0-3;0.30532;0.13109;0.14760;0.19081;0.07623
1-0-2-0-0-0-3-0-0-0;0.26979;0.12308;0.12261;0.17563;0.06167
1-0-2-0-0-0-0-0-0-3;0.31025;0.12644;0.14340;0.17266;0.08000
1-0-0-0-0-0-2-0-0-3;0.30447;0.10588;0.12403;0.17690;0.06667
0-1-2-0-0-0-3-0-0-0;0.26567;0.11240;0.11583;0.15751;0.07424
0-1-2-0-0-0-0-0-0-3;0.30226;0.10506;0.11538;0.13858;0.08333
0-1-0-0-0-0-2-0-0-3;0.29630;0.10938;0.12355;0.15613;0.07489
0-0-1-0-0-0-2-0-0-3;0.29598;0.08661;0.11111;0.13704;0.09283
1-2-3-0-0-0-4-0-0-0;0.29096;0.15054;0.15054;0.19113;0.10121
1-2-3-0-0-0-0-0-0-4;0.32979;0.15357;0.16549;0.19113;0.10484
1-2-0-0-0-0-3-0-0-4;0.31707;0.13455;0.13768;0.20134;0.10887
1-0-2-0-0-0-3-0-0-4;0.32620;0.13187;0.13768;0.18089;0.10163
0-1-2-0-0-0-3-0-0-4;0.32162;0.11321;0.12915;0.16014;0.09639
1-2-3-0-0-0-4-0-0-5;0.17007;0.10938;0.12308;0.14552;0.10246
