network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.62688;0.62688;0.62688;0.00000;nan;0.62688;0.62688
(b);0.62196;0.62196;0.62196;0.00000;nan;0.62196;0.62196
(c);0.61287;0.61287;0.61287;0.00000;nan;0.61287;0.61287
(d);0.61184;0.61184;0.61184;0.00000;nan;0.61184;0.61184
(e);0.61370;0.61370;0.61370;0.00000;nan;0.61370;0.61370
(a)>(b);0.62162;0.62162;0.62162;0.55653;0.63141;0.62636;0.62162
(a)>(c);0.61682;0.61682;0.61682;0.55003;0.62680;0.62296;0.61682
(a)>(d);0.61330;0.61330;0.61330;0.56355;0.62900;0.62631;0.61330
(a)>(e);0.61617;0.61617;0.61617;0.55521;0.62795;0.62390;0.61617
(b)>(c);0.61613;0.61613;0.61613;0.53758;0.62591;0.62017;0.61613
(b)>(d);0.61328;0.61328;0.61328;0.54636;0.62511;0.62142;0.61328
(b)>(e);0.61568;0.61568;0.61568;0.54908;0.62562;0.62053;0.61568
(c)>(d);0.60867;0.60867;0.60867;0.54239;0.62182;0.61625;0.60867
(c)>(e);0.61080;0.61080;0.61080;0.53665;0.62188;0.61501;0.61080
(d)>(e);0.60785;0.60785;0.60785;0.55753;0.62182;0.61870;0.60785
(a)>(b)>(c);0.61120;0.63872;0.64108;0.62900;0.62456;0.61348;0.63872
(a)>(b)>(d);0.60905;0.63411;0.63684;0.62680;0.62798;0.61839;0.63411
(a)>(b)>(e);0.61032;0.63768;0.64129;0.62937;0.62601;0.61453;0.63768
(a)>(c)>(d);0.60558;0.63353;0.63807;0.62648;0.62478;0.61348;0.63353
(a)>(c)>(e);0.60747;0.63365;0.63765;0.62561;0.62336;0.61123;0.63365
(a)>(d)>(e);0.60717;0.62894;0.63202;0.62119;0.62790;0.61828;0.62894
(b)>(c)>(d);0.60382;0.63480;0.63810;0.62625;0.62134;0.60912;0.63480
(b)>(c)>(e);0.60528;0.63729;0.63915;0.62626;0.61967;0.60776;0.63729
(b)>(d)>(e);0.60528;0.63199;0.63529;0.62351;0.62301;0.61323;0.63199
(c)>(d)>(e);0.60091;0.62894;0.62998;0.61975;0.61917;0.60863;0.62894
(a)>(b)>(c)>(d);0.59943;0.63281;0.63775;0.63315;0.64137;0.60524;0.63281
(a)>(b)>(c)>(e);0.60073;0.63527;0.64108;0.63558;0.64209;0.60239;0.63527
(a)>(b)>(d)>(e);0.60094;0.63113;0.63628;0.63105;0.63873;0.60941;0.63113
(a)>(c)>(d)>(e);0.59856;0.62832;0.63421;0.62882;0.63812;0.60514;0.62832
(b)>(c)>(d)>(e);0.59548;0.63079;0.63483;0.63053;0.63832;0.60057;0.63079
(a)>(b)>(c)>(d)>(e);0.63463;0.63989;0.64150;0.63650;0.63882;0.59696;0.63485
