network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.89405;0.89405;0.89405;nan;nan;0.89405;0.89405
(b);0.89465;0.89465;0.89465;nan;nan;0.89465;0.89465
(c);0.89097;0.89097;0.89097;nan;nan;0.89097;0.89097
(d);0.88983;0.88983;0.88983;nan;nan;0.88983;0.88983
(e);0.88893;0.88893;0.88893;nan;nan;0.88893;0.88893
(a)>(b);0.89344;0.89344;0.89344;0.89563;0.89783;0.89563;0.89344
(a)>(c);0.89165;0.89165;0.89165;0.89362;0.89593;0.89362;0.89165
(a)>(d);0.89155;0.89155;0.89155;0.89237;0.89526;0.89237;0.89155
(a)>(e);0.89117;0.89117;0.89117;0.89206;0.89535;0.89206;0.89117
(b)>(c);0.89153;0.89153;0.89153;0.89406;0.89645;0.89406;0.89153
(b)>(d);0.89178;0.89178;0.89178;0.89293;0.89618;0.89293;0.89178
(b)>(e);0.89117;0.89117;0.89117;0.89259;0.89610;0.89259;0.89117
(c)>(d);0.88972;0.88972;0.88972;0.89109;0.89421;0.89109;0.88972
(c)>(e);0.88944;0.88944;0.88944;0.89090;0.89449;0.89090;0.88944
(d)>(e);0.88896;0.88896;0.88896;0.88980;0.89268;0.88980;0.88896
(a)>(b)>(c);0.89280;0.89375;0.89588;0.89008;0.89969;0.89379;0.89086
(a)>(b)>(d);0.89322;0.89376;0.89612;0.88936;0.89917;0.89270;0.89096
(a)>(b)>(e);0.89273;0.89329;0.89545;0.88863;0.89958;0.89266;0.89066
(a)>(c)>(d);0.89139;0.89270;0.89442;0.88808;0.89788;0.89150;0.88974
(a)>(c)>(e);0.89095;0.89251;0.89403;0.88772;0.89779;0.89127;0.88950
(a)>(d)>(e);0.89033;0.89217;0.89326;0.88780;0.89631;0.89075;0.88934
(b)>(c)>(d);0.89179;0.89276;0.89514;0.88781;0.89903;0.89201;0.88972
(b)>(c)>(e);0.89128;0.89229;0.89461;0.88739;0.89908;0.89184;0.88926
(b)>(d)>(e);0.89044;0.89225;0.89326;0.88749;0.89725;0.89118;0.88948
(c)>(d)>(e);0.88935;0.89124;0.89261;0.88630;0.89609;0.89003;0.88810
(a)>(b)>(c)>(d);0.89230;0.89142;0.89481;0.89297;0.89706;0.89134;0.88907
(a)>(b)>(c)>(e);0.89218;0.89112;0.89447;0.89250;0.89700;0.89137;0.88897
(a)>(b)>(d)>(e);0.89173;0.89118;0.89409;0.89236;0.89638;0.89086;0.88892
(a)>(c)>(d)>(e);0.89037;0.89063;0.89312;0.89151;0.89538;0.89000;0.88797
(b)>(c)>(d)>(e);0.89096;0.89034;0.89347;0.89098;0.89619;0.89039;0.88796
(a)>(b)>(c)>(d)>(e);0.89355;0.89488;0.89555;0.89266;0.89755;0.88989;0.88759
