network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.10841;0.10841;0.10841;0.00000;nan;0.10841;0.10841
(b);0.10679;0.10679;0.10679;0.00000;nan;0.10679;0.10679
(c);0.11809;0.11809;0.11809;0.00000;nan;0.11809;0.11809
(d);0.11468;0.11468;0.11468;0.00000;nan;0.11468;0.11468
(e);0.10872;0.10872;0.10872;0.00000;nan;0.10872;0.10872
(a)>(b);0.14314;0.14314;0.14314;0.06628;0.06757;0.06871;0.14314
(a)>(c);0.15116;0.15116;0.15116;0.06870;0.07085;0.07178;0.15116
(a)>(d);0.14577;0.14577;0.14577;0.07130;0.07574;0.07412;0.14577
(a)>(e);0.14563;0.14563;0.14563;0.06530;0.06830;0.06799;0.14563
(b)>(c);0.15486;0.15486;0.15486;0.06184;0.06293;0.06404;0.15486
(b)>(d);0.14978;0.14978;0.14978;0.06500;0.06705;0.06710;0.14978
(b)>(e);0.14589;0.14589;0.14589;0.06427;0.06625;0.06638;0.14589
(c)>(d);0.15753;0.15753;0.15753;0.06794;0.07100;0.07186;0.15753
(c)>(e);0.15595;0.15595;0.15595;0.06451;0.06491;0.06703;0.15595
(d)>(e);0.14568;0.14568;0.14568;0.07081;0.07486;0.07438;0.14568
(a)>(b)>(c);0.17415;0.09534;0.09466;0.09795;0.05155;0.05475;0.09534
(a)>(b)>(d);0.16881;0.09794;0.09696;0.09795;0.05432;0.05667;0.09794
(a)>(b)>(e);0.16897;0.09296;0.09120;0.09361;0.05231;0.05560;0.09296
(a)>(c)>(d);0.17649;0.09719;0.09499;0.09700;0.05759;0.06066;0.09719
(a)>(c)>(e);0.17640;0.09526;0.09363;0.09618;0.05282;0.05627;0.09526
(a)>(d)>(e);0.16656;0.10004;0.09819;0.10033;0.05603;0.05834;0.10004
(b)>(c)>(d);0.18204;0.09484;0.09367;0.09564;0.04988;0.05389;0.09484
(b)>(c)>(e);0.18054;0.09119;0.09050;0.09332;0.04934;0.05291;0.09119
(b)>(d)>(e);0.17113;0.09618;0.09441;0.09735;0.05265;0.05542;0.09618
(c)>(d)>(e);0.17906;0.09765;0.09711;0.09902;0.05453;0.05788;0.09765
(a)>(b)>(c)>(d);0.19404;0.11544;0.11345;0.11342;0.07509;0.04989;0.11544
(a)>(b)>(c)>(e);0.19438;0.11309;0.11109;0.11137;0.07193;0.04891;0.11309
(a)>(b)>(d)>(e);0.18562;0.11547;0.11296;0.11328;0.07535;0.04989;0.11547
(a)>(c)>(d)>(e);0.19327;0.11604;0.11342;0.11430;0.07569;0.05204;0.11604
(b)>(c)>(d)>(e);0.19789;0.11696;0.11534;0.11509;0.07026;0.04961;0.11696
(a)>(b)>(c)>(d)>(e);0.12743;0.09123;0.08998;0.09054;0.06262;0.04664;0.09279
