;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.11032;0.11032;0.11032;0.00000;nan
0-1-0-0-0-0-0-0-0-0;0.09531;0.09531;0.09531;0.00000;nan
0-0-1-0-0-0-0-0-0-0;0.08195;0.08195;0.08195;0.00000;nan
0-0-0-0-0-0-1-0-0-0;0.08650;0.08650;0.08650;0.00000;nan
0-0-0-0-0-0-0-0-0-1;0.08456;0.08456;0.08456;0.00000;nan
1-2-0-0-0-0-0-0-0-0;0.13134;0.13134;0.13134;0.07017;0.07202
1-0-2-0-0-0-0-0-0-0;0.13144;0.13144;0.13144;0.05647;0.05706
1-0-0-0-0-0-2-0-0-0;0.13544;0.13544;0.13544;0.05674;0.05837
1-0-0-0-0-0-0-0-0-2;0.13691;0.13691;0.13691;0.05293;0.05387
0-1-2-0-0-0-0-0-0-0;0.12117;0.12117;0.12117;0.05268;0.05389
0-1-0-0-0-0-2-0-0-0;0.12245;0.12245;0.12245;0.05407;0.05536
0-1-0-0-0-0-0-0-0-2;0.12564;0.12564;0.12564;0.04850;0.04955
0-0-1-0-0-0-2-0-0-0;0.11095;0.11095;0.11095;0.05384;0.05804
0-0-1-0-0-0-0-0-0-2;0.11112;0.11112;0.11112;0.05140;0.05183
0-0-0-0-0-0-1-0-0-2;0.11561;0.11561;0.11561;0.05027;0.05131
1-2-3-0-0-0-0-0-0-0;0.14822;0.08488;0.08350;0.08641;0.04760
1-2-0-0-0-0-3-0-0-0;0.15033;0.08602;0.08465;0.08729;0.04823
1-2-0-0-0-0-0-0-0-3;0.15277;0.08514;0.08400;0.08729;0.04347
1-0-2-0-0-0-3-0-0-0;0.14881;0.07745;0.07631;0.07812;0.04605
1-0-2-0-0-0-0-0-0-3;0.14951;0.07646;0.07481;0.07902;0.04109
1-0-0-0-0-0-2-0-0-3;0.15465;0.07835;0.07678;0.07884;0.04172
0-1-2-0-0-0-3-0-0-0;0.13842;0.07631;0.07441;0.07598;0.04350
0-1-2-0-0-0-0-0-0-3;0.14058;0.07433;0.07334;0.07656;0.03897
0-1-0-0-0-0-2-0-0-3;0.14342;0.07539;0.07390;0.07572;0.03959
0-0-1-0-0-0-2-0-0-3;0.13052;0.07550;0.07492;0.07543;0.04218
1-2-3-0-0-0-4-0-0-0;0.16214;0.09832;0.09604;0.09635;0.06146
1-2-3-0-0-0-0-0-0-4;0.16385;0.09824;0.09627;0.09698;0.06027
1-2-0-0-0-0-3-0-0-4;0.16742;0.09794;0.09597;0.09573;0.06205
1-0-2-0-0-0-3-0-0-4;0.16378;0.09128;0.08905;0.08962;0.05975
0-1-2-0-0-0-3-0-0-4;0.15481;0.09118;0.08911;0.08895;0.05798
1-2-3-0-0-0-4-0-0-5;0.10563;0.07324;0.07167;0.07325;0.05166
