network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.05083;0.05083;0.05083;nan;nan;0.05083;0.05083
(b);0.05003;0.05003;0.05003;nan;nan;0.05003;0.05003
(c);0.05032;0.05032;0.05032;nan;nan;0.05032;0.05032
(d);0.05257;0.05257;0.05257;nan;nan;0.05257;0.05257
(e);0.05251;0.05251;0.05251;nan;nan;0.05251;0.05251
(a)>(b);0.05966;0.05966;0.05966;0.03937;0.05878;0.03937;0.05966
(a)>(c);0.05931;0.05931;0.05931;0.04025;0.05863;0.04025;0.05931
(a)>(d);0.06116;0.06116;0.06116;0.04105;0.06046;0.04105;0.06116
(a)>(e);0.06164;0.06164;0.06164;0.04032;0.06069;0.04032;0.06164
(b)>(c);0.06030;0.06030;0.06030;0.03839;0.05949;0.03839;0.06030
(b)>(d);0.06166;0.06166;0.06166;0.03921;0.06068;0.03921;0.06166
(b)>(e);0.06211;0.06211;0.06211;0.03875;0.06080;0.03875;0.06211
(c)>(d);0.06142;0.06142;0.06142;0.03993;0.06052;0.03993;0.06142
(c)>(e);0.06158;0.06158;0.06158;0.03947;0.06034;0.03947;0.06158
(d)>(e);0.06160;0.06160;0.06160;0.04260;0.06049;0.04260;0.06160
(a)>(b)>(c);0.05113;0.06476;0.04993;0.03603;0.04734;0.03463;0.06476
(a)>(b)>(d);0.05148;0.06603;0.05041;0.03623;0.04813;0.03491;0.06603
(a)>(b)>(e);0.05175;0.06655;0.05078;0.03619;0.04776;0.03436;0.06655
(a)>(c)>(d);0.05182;0.06553;0.05087;0.03701;0.04842;0.03560;0.06553
(a)>(c)>(e);0.05220;0.06597;0.05113;0.03667;0.04828;0.03502;0.06597
(a)>(d)>(e);0.05316;0.06612;0.05183;0.03756;0.04969;0.03646;0.06612
(b)>(c)>(d);0.05166;0.06652;0.05028;0.03569;0.04754;0.03407;0.06652
(b)>(c)>(e);0.05200;0.06702;0.05072;0.03551;0.04746;0.03359;0.06702
(b)>(d)>(e);0.05281;0.06702;0.05154;0.03666;0.04861;0.03505;0.06702
(c)>(d)>(e);0.05301;0.06655;0.05169;0.03723;0.04903;0.03553;0.06655
(a)>(b)>(c)>(d);0.05560;0.06975;0.05492;0.04338;0.05348;0.03197;0.06975
(a)>(b)>(c)>(e);0.05569;0.07007;0.05503;0.04335;0.05357;0.03151;0.07007
(a)>(b)>(d)>(e);0.05670;0.07035;0.05590;0.04398;0.05445;0.03227;0.07035
(a)>(c)>(d)>(e);0.05685;0.06970;0.05600;0.04400;0.05469;0.03270;0.06970
(b)>(c)>(d)>(e);0.05677;0.07088;0.05594;0.04362;0.05421;0.03159;0.07088
(a)>(b)>(c)>(d)>(e);0.05114;0.06038;0.04970;0.04073;0.04888;0.03000;0.07269
