;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.89158;0.89158;0.89158;nan;nan
0-1-0-0-0-0-0-0-0-0;0.89285;0.89285;0.89285;nan;nan
0-0-1-0-0-0-0-0-0-0;0.89615;0.89615;0.89615;nan;nan
0-0-0-0-0-0-1-0-0-0;0.89190;0.89190;0.89190;nan;nan
0-0-0-0-0-0-0-0-0-1;0.89671;0.89671;0.89671;nan;nan
1-2-0-0-0-0-0-0-0-0;0.89181;0.89181;0.89181;0.89284;0.89538
1-0-2-0-0-0-0-0-0-0;0.89249;0.89249;0.89249;0.89553;0.89777
1-0-0-0-0-0-2-0-0-0;0.89042;0.89042;0.89042;0.89309;0.89613
1-0-0-0-0-0-0-0-0-2;0.89272;0.89272;0.89272;0.89612;0.89915
0-1-2-0-0-0-0-0-0-0;0.89338;0.89338;0.89338;0.89582;0.89819
0-1-0-0-0-0-2-0-0-0;0.89122;0.89122;0.89122;0.89352;0.89648
0-1-0-0-0-0-0-0-0-2;0.89315;0.89315;0.89315;0.89652;0.89881
0-0-1-0-0-0-2-0-0-0;0.89334;0.89334;0.89334;0.89469;0.89757
0-0-1-0-0-0-0-0-0-2;0.89497;0.89497;0.89497;0.89822;0.90020
0-0-0-0-0-0-1-0-0-2;0.89327;0.89327;0.89327;0.89556;0.89842
1-2-3-0-0-0-0-0-0-0;0.89244;0.89433;0.89531;0.89057;0.89927
1-2-0-0-0-0-3-0-0-0;0.89166;0.89291;0.89468;0.88821;0.89898
1-2-0-0-0-0-0-0-0-3;0.89287;0.89454;0.89607;0.89030;0.90063
1-0-2-0-0-0-3-0-0-0;0.89279;0.89398;0.89628;0.88969;0.90048
1-0-2-0-0-0-0-0-0-3;0.89404;0.89548;0.89784;0.89155;0.90253
1-0-0-0-0-0-2-0-0-3;0.89305;0.89469;0.89728;0.88970;0.90160
0-1-2-0-0-0-3-0-0-0;0.89306;0.89447;0.89614;0.88998;0.90036
0-1-2-0-0-0-0-0-0-3;0.89423;0.89580;0.89784;0.89226;0.90220
0-1-0-0-0-0-2-0-0-3;0.89309;0.89499;0.89726;0.89040;0.90126
0-0-1-0-0-0-2-0-0-3;0.89475;0.89580;0.89840;0.89174;0.90197
1-2-3-0-0-0-4-0-0-0;0.89277;0.89209;0.89498;0.89303;0.89772
1-2-3-0-0-0-0-0-0-4;0.89329;0.89329;0.89595;0.89413;0.89868
1-2-0-0-0-0-3-0-0-4;0.89276;0.89197;0.89534;0.89305;0.89856
1-0-2-0-0-0-3-0-0-4;0.89336;0.89287;0.89640;0.89456;0.89922
0-1-2-0-0-0-3-0-0-4;0.89379;0.89338;0.89678;0.89481;0.89937
1-2-3-0-0-0-4-0-0-5;0.89538;0.89679;0.89757;0.89528;0.90006
