network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);1.97196;1.97196;1.97196;inf;nan;1.97196;2.04673
(b);2.30928;2.30928;2.30928;inf;nan;2.30928;2.45361
(c);2.28571;2.28571;2.28571;inf;nan;2.28571;2.44898
(d);2.29474;2.29474;2.29474;inf;nan;2.29474;2.56842
(e);2.29213;2.29213;2.29213;inf;nan;2.29213;2.43820
(a)>(b);2.34821;2.34821;2.34821;1.84375;2.01190;1.88542;2.48214
(a)>(c);2.23932;2.23932;2.23932;1.97727;2.03488;2.00000;2.39316
(a)>(d);2.17117;2.17117;2.17117;2.11111;2.03529;2.13333;2.39640
(a)>(e);2.02609;2.02609;2.02609;2.29268;2.33766;2.30488;2.14783
(b)>(c);2.28814;2.28814;2.28814;2.18519;2.04938;2.19753;2.48305
(b)>(d);2.41667;2.41667;2.41667;2.02273;2.19231;2.05682;2.63889
(b)>(e);2.22018;2.22018;2.22018;2.18519;2.30137;2.23457;2.44954
(c)>(d);2.28571;2.28571;2.28571;2.19048;2.20253;2.21429;2.57143
(c)>(e);2.17241;2.17241;2.17241;2.45205;2.52857;2.45205;2.35345
(d)>(e);2.37000;2.37000;2.37000;2.32500;2.27273;2.33750;2.64000
(a)>(b)>(c);2.35156;1.95745;1.87000;1.95146;1.93976;2.16250;2.64754
(a)>(b)>(d);2.37705;1.88542;1.88119;1.95327;2.07407;2.01163;2.62393
(a)>(b)>(e);2.20472;1.86458;1.73832;1.78182;2.24675;2.25316;2.56034
(a)>(c)>(d);2.27642;1.93814;1.91000;2.07843;2.08750;2.26582;2.59167
(a)>(c)>(e);2.13178;2.08602;1.95918;2.09091;2.28767;2.49296;2.40323
(a)>(d)>(e);2.15833;2.08889;2.01042;2.11000;2.19231;2.27848;2.46491
(b)>(c)>(d);2.47107;2.04444;1.98936;2.06000;2.26027;2.23377;2.80342
(b)>(c)>(e);2.29134;1.90323;1.89691;2.02020;2.50000;2.55072;2.54472
(b)>(d)>(e);2.32203;1.93548;1.79208;1.90385;2.36111;2.28571;2.77273
(c)>(d)>(e);2.32500;2.01053;2.01031;2.09091;2.47826;2.59420;2.61017
(a)>(b)>(c)>(d);2.46154;1.94059;1.95283;2.07339;1.82979;2.32432;2.74400
(a)>(b)>(c)>(e);2.29851;1.96000;1.81651;1.92035;1.81720;2.61194;2.68800
(a)>(b)>(d)>(e);2.36220;1.94898;1.87736;2.02778;1.83333;2.32000;2.71429
(a)>(c)>(d)>(e);2.27907;2.08247;1.99029;1.99074;1.94681;2.55882;2.65041
(b)>(c)>(d)>(e);2.50400;1.95876;1.91262;2.00943;2.06977;2.56716;2.87395
(a)>(b)>(c)>(d)>(e);1.95495;1.79798;1.84158;1.93137;1.92045;2.66154;2.83465
