;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.45675;0.45675;0.45675;nan;nan
0-1-0-0-0-0-0-0-0-0;0.45866;0.45866;0.45866;nan;nan
0-0-1-0-0-0-0-0-0-0;0.46258;0.46258;0.46258;nan;nan
0-0-0-0-0-0-1-0-0-0;0.46015;0.46015;0.46015;nan;nan
0-0-0-0-0-0-0-0-0-1;0.46170;0.46170;0.46170;nan;nan
1-2-0-0-0-0-0-0-0-0;0.46153;0.46153;0.46153;0.45490;0.46412
1-0-2-0-0-0-0-0-0-0;0.46308;0.46308;0.46308;0.45734;0.46749
1-0-0-0-0-0-2-0-0-0;0.46259;0.46259;0.46259;0.45521;0.46733
1-0-0-0-0-0-0-0-0-2;0.46336;0.46336;0.46336;0.45654;0.46837
0-1-2-0-0-0-0-0-0-0;0.46400;0.46400;0.46400;0.45825;0.46832
0-1-0-0-0-0-2-0-0-0;0.46345;0.46345;0.46345;0.45604;0.46761
0-1-0-0-0-0-0-0-0-2;0.46405;0.46405;0.46405;0.45734;0.46825
0-0-1-0-0-0-2-0-0-0;0.46555;0.46555;0.46555;0.45764;0.46892
0-0-1-0-0-0-0-0-0-2;0.46534;0.46534;0.46534;0.46003;0.46965
0-0-0-0-0-0-1-0-0-2;0.46530;0.46530;0.46530;0.45768;0.46954
1-2-3-0-0-0-0-0-0-0;0.45939;0.46700;0.46142;0.45193;0.46405
1-2-0-0-0-0-3-0-0-0;0.45912;0.46677;0.46099;0.44985;0.46375
1-2-0-0-0-0-0-0-0-3;0.45976;0.46733;0.46169;0.45102;0.46446
1-0-2-0-0-0-3-0-0-0;0.46030;0.46850;0.46304;0.45144;0.46560
1-0-2-0-0-0-0-0-0-3;0.46067;0.46886;0.46362;0.45262;0.46634
1-0-0-0-0-0-2-0-0-3;0.46045;0.46925;0.46342;0.45058;0.46608
0-1-2-0-0-0-3-0-0-0;0.46076;0.46877;0.46315;0.45193;0.46581
0-1-2-0-0-0-0-0-0-3;0.46126;0.46902;0.46392;0.45332;0.46655
0-1-0-0-0-0-2-0-0-3;0.46069;0.46952;0.46368;0.45168;0.46574
0-0-1-0-0-0-2-0-0-3;0.46200;0.47027;0.46499;0.45350;0.46686
1-2-3-0-0-0-4-0-0-0;0.46194;0.46821;0.46359;0.45716;0.46541
1-2-3-0-0-0-0-0-0-4;0.46205;0.46857;0.46385;0.45782;0.46576
1-2-0-0-0-0-3-0-0-4;0.46204;0.46859;0.46372;0.45690;0.46573
1-0-2-0-0-0-3-0-0-4;0.46246;0.46972;0.46495;0.45859;0.46673
0-1-2-0-0-0-3-0-0-4;0.46298;0.46991;0.46520;0.45862;0.46727
1-2-3-0-0-0-4-0-0-5;0.46197;0.46776;0.46325;0.45766;0.46533
