;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.91604;0.91604;0.91604;nan;nan
0-1-0-0-0-0-0-0-0-0;0.91743;0.91743;0.91743;nan;nan
0-0-1-0-0-0-0-0-0-0;0.91722;0.91722;0.91722;nan;nan
0-0-0-0-0-0-1-0-0-0;0.91413;0.91413;0.91413;nan;nan
0-0-0-0-0-0-0-0-0-1;0.91861;0.91861;0.91861;nan;nan
1-2-0-0-0-0-0-0-0-0;0.90542;0.90542;0.90542;0.93001;0.90639
1-0-2-0-0-0-0-0-0-0;0.90326;0.90326;0.90326;0.93263;0.90481
1-0-0-0-0-0-2-0-0-0;0.90055;0.90055;0.90055;0.93247;0.90200
1-0-0-0-0-0-0-0-0-2;0.90295;0.90295;0.90295;0.93524;0.90483
0-1-2-0-0-0-0-0-0-0;0.90546;0.90546;0.90546;0.93163;0.90665
0-1-0-0-0-0-2-0-0-0;0.90256;0.90256;0.90256;0.93148;0.90390
0-1-0-0-0-0-0-0-0-2;0.90458;0.90458;0.90458;0.93435;0.90588
0-0-1-0-0-0-2-0-0-0;0.90284;0.90284;0.90284;0.93029;0.90419
0-0-1-0-0-0-0-0-0-2;0.90543;0.90543;0.90543;0.93285;0.90692
0-0-0-0-0-0-1-0-0-2;0.90234;0.90234;0.90234;0.93317;0.90365
1-2-3-0-0-0-0-0-0-0;0.91556;0.89828;0.91685;0.93586;0.92038
1-2-0-0-0-0-3-0-0-0;0.91490;0.89599;0.91635;0.93603;0.92007
1-2-0-0-0-0-0-0-0-3;0.91599;0.89772;0.91766;0.93791;0.92147
1-0-2-0-0-0-3-0-0-0;0.91467;0.89524;0.91631;0.93657;0.92012
1-0-2-0-0-0-0-0-0-3;0.91571;0.89713;0.91794;0.93823;0.92192
1-0-0-0-0-0-2-0-0-3;0.91495;0.89452;0.91719;0.93876;0.92129
0-1-2-0-0-0-3-0-0-0;0.91521;0.89708;0.91637;0.93547;0.92025
0-1-2-0-0-0-0-0-0-3;0.91630;0.89868;0.91807;0.93744;0.92192
0-1-0-0-0-0-2-0-0-3;0.91526;0.89623;0.91723;0.93800;0.92109
0-0-1-0-0-0-2-0-0-3;0.91570;0.89677;0.91758;0.93697;0.92087
1-2-3-0-0-0-4-0-0-0;0.90965;0.89164;0.91029;0.92600;0.91224
1-2-3-0-0-0-0-0-0-4;0.91039;0.89293;0.91147;0.92754;0.91346
1-2-0-0-0-0-3-0-0-4;0.90966;0.89050;0.91062;0.92727;0.91290
1-0-2-0-0-0-3-0-0-4;0.90937;0.89052;0.91080;0.92717;0.91262
0-1-2-0-0-0-3-0-0-4;0.91040;0.89198;0.91138;0.92707;0.91331
1-2-3-0-0-0-4-0-0-5;0.91688;0.90436;0.91858;0.93128;0.91978
