network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.17569;0.17569;0.17569;nan;nan;0.17569;0.17569
(b);0.17188;0.17188;0.17188;nan;nan;0.17188;0.17188
(c);0.23335;0.23335;0.23335;nan;nan;0.23335;0.23335
(d);0.11597;0.11597;0.11597;nan;nan;0.11597;0.11597
(e);0.03750;0.03750;0.03750;nan;nan;0.03750;0.03750
(a)>(b);0.15375;0.15375;0.15375;0.25000;nan;0.25000;0.15375
(a)>(c);0.17519;0.17519;0.17519;0.22778;0.20000;0.22778;0.17519
(a)>(d);0.19000;0.19000;0.19000;0.15139;0.17778;0.15139;0.19000
(a)>(e);0.18194;0.18194;0.18194;0.12778;0.10000;0.12778;0.18194
(b)>(c);0.16672;0.16672;0.16672;0.29231;nan;0.29231;0.16672
(b)>(d);0.10469;0.10469;0.10469;0.22222;nan;0.22222;0.10469
(b)>(e);0.10469;0.10469;0.10469;nan;nan;nan;0.10469
(c)>(d);0.15201;0.15201;0.15201;0.22981;0.17500;0.22981;0.15201
(c)>(e);0.10772;0.10772;0.10772;0.23675;0.17500;0.23675;0.10772
(d)>(e);0.11597;0.11597;0.11597;0.03750;0.03750;0.03750;0.11597
(a)>(b)>(c);0.15698;0.20000;0.20000;0.23333;nan;0.26667;0.20000
(a)>(b)>(d);0.18322;0.10000;0.16852;0.15444;0.30556;0.27778;0.10000
(a)>(b)>(e);0.15875;0.10000;0.10000;0.15833;nan;0.33333;0.10000
(a)>(c)>(d);0.20825;0.17778;0.22324;0.16111;0.27981;0.19167;0.17778
(a)>(c)>(e);0.21020;0.10000;0.19509;0.15208;0.29263;0.20278;0.10000
(a)>(d)>(e);0.16500;0.17778;0.13611;0.15139;0.03750;0.12778;0.17778
(b)>(c)>(d);0.13338;0.17500;0.17500;0.21568;nan;0.35897;0.17500
(b)>(c)>(e);0.13338;0.17500;0.17500;0.22821;nan;0.30481;0.17500
(b)>(d)>(e);0.10469;0.03750;0.03750;0.12986;nan;nan;0.03750
(c)>(d)>(e);0.12241;0.08750;0.03750;0.17115;0.07500;0.22981;0.08750
(a)>(b)>(c)>(d);0.17464;0.10000;0.16019;0.16631;0.24028;0.33333;0.10000
(a)>(b)>(c)>(e);0.15282;0.10000;0.08750;0.17115;0.17500;0.27917;0.10000
(a)>(b)>(d)>(e);0.16238;0.10000;0.12685;0.10972;0.12685;0.33333;0.10000
(a)>(c)>(d)>(e);0.17886;0.17778;0.16944;0.18137;0.08750;0.19167;0.17778
(b)>(c)>(d)>(e);0.11338;0.08750;0.03750;0.14889;0.07500;0.35897;0.08750
(a)>(b)>(c)>(d)>(e);0.16019;0.10000;0.16019;0.16405;0.17500;0.33333;0.10000
