network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.16915;0.16915;0.16915;1.00000;nan;0.16915;0.16702
(b);0.17577;0.17577;0.17577;1.00000;nan;0.17577;0.17378
(c);0.17288;0.17288;0.17288;1.00000;nan;0.17288;0.16964
(d);0.17659;0.17659;0.17659;1.00000;nan;0.17659;0.17407
(e);0.18008;0.18008;0.18008;1.00000;nan;0.18008;0.17786
(a)>(b);0.13752;0.13752;0.13752;0.21225;0.20898;0.21169;0.13520
(a)>(c);0.13436;0.13436;0.13436;0.21193;0.20951;0.21122;0.13142
(a)>(d);0.14469;0.14469;0.14469;0.20378;0.20191;0.20316;0.14216
(a)>(e);0.14158;0.14158;0.14158;0.21221;0.20975;0.21160;0.13917
(b)>(c);0.13112;0.13112;0.13112;0.22233;0.21887;0.22181;0.12823
(b)>(d);0.13978;0.13978;0.13978;0.21707;0.21535;0.21659;0.13722
(b)>(e);0.14136;0.14136;0.14136;0.21825;0.21566;0.21775;0.13918
(c)>(d);0.13679;0.13679;0.13679;0.21684;0.21345;0.21593;0.13378
(c)>(e);0.13558;0.13558;0.13558;0.22290;0.21932;0.22230;0.13261
(d)>(e);0.14914;0.14914;0.14914;0.21021;0.20836;0.20940;0.14639
(a)>(b)>(c);0.11743;0.16931;0.16914;0.17430;0.23480;0.23895;0.11474
(a)>(b)>(d);0.12578;0.17265;0.17197;0.17597;0.22712;0.23058;0.12381
(a)>(b)>(e);0.12450;0.17298;0.17231;0.17732;0.23144;0.23569;0.12272
(a)>(c)>(d);0.12185;0.17286;0.17112;0.17596;0.22672;0.23087;0.12039
(a)>(c)>(e);0.11959;0.17395;0.17248;0.17771;0.23283;0.23761;0.11780
(a)>(d)>(e);0.12971;0.17475;0.17377;0.17870;0.22319;0.22702;0.12813
(b)>(c)>(d);0.11767;0.17363;0.17275;0.17749;0.23879;0.24309;0.11577
(b)>(c)>(e);0.11746;0.17449;0.17452;0.17981;0.24110;0.24537;0.11503
(b)>(d)>(e);0.12657;0.17571;0.17450;0.17964;0.23257;0.23605;0.12515
(c)>(d)>(e);0.12326;0.17624;0.17636;0.18065;0.23407;0.23780;0.12018
(a)>(b)>(c)>(d);0.11049;0.15427;0.15272;0.15528;0.18987;0.25103;0.10892
(a)>(b)>(c)>(e);0.10906;0.15329;0.15141;0.15470;0.19209;0.25517;0.10779
(a)>(b)>(d)>(e);0.11727;0.15623;0.15489;0.15785;0.19199;0.24588;0.11599
(a)>(c)>(d)>(e);0.11214;0.15790;0.15559;0.15902;0.19096;0.24785;0.11130
(b)>(c)>(d)>(e);0.11053;0.15458;0.15364;0.15590;0.19661;0.25581;0.10844
(a)>(b)>(c)>(d)>(e);0.14108;0.17387;0.17321;0.17538;0.20531;0.26255;0.10376
