;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.05440;0.05440;0.05440;nan;nan
0-1-0-0-0-0-0-0-0-0;0.05452;0.05452;0.05452;nan;nan
0-0-1-0-0-0-0-0-0-0;0.05155;0.05155;0.05155;nan;nan
0-0-0-0-0-0-1-0-0-0;0.05386;0.05386;0.05386;nan;nan
0-0-0-0-0-0-0-0-0-1;0.05149;0.05149;0.05149;nan;nan
1-2-0-0-0-0-0-0-0-0;0.04771;0.04771;0.04771;0.06255;0.04536
1-0-2-0-0-0-0-0-0-0;0.04557;0.04557;0.04557;0.06223;0.04238
1-0-0-0-0-0-2-0-0-0;0.04589;0.04589;0.04589;0.06432;0.04234
1-0-0-0-0-0-0-0-0-2;0.04514;0.04514;0.04514;0.06298;0.04092
0-1-2-0-0-0-0-0-0-0;0.04642;0.04642;0.04642;0.06135;0.04346
0-1-0-0-0-0-2-0-0-0;0.04672;0.04672;0.04672;0.06349;0.04337
0-1-0-0-0-0-0-0-0-2;0.04577;0.04577;0.04577;0.06226;0.04194
0-0-1-0-0-0-2-0-0-0;0.04520;0.04520;0.04520;0.06139;0.04259
0-0-1-0-0-0-0-0-0-2;0.04482;0.04482;0.04482;0.05985;0.04141
0-0-0-0-0-0-1-0-0-2;0.04465;0.04465;0.04465;0.06249;0.04126
1-2-3-0-0-0-0-0-0-0;0.05347;0.04126;0.05203;0.06821;0.05110
1-2-0-0-0-0-3-0-0-0;0.05391;0.04120;0.05244;0.07033;0.05130
1-2-0-0-0-0-0-0-0-3;0.05348;0.04041;0.05186;0.06959;0.05054
1-0-2-0-0-0-3-0-0-0;0.05281;0.03971;0.05105;0.06953;0.05020
1-0-2-0-0-0-0-0-0-3;0.05224;0.03926;0.05047;0.06886;0.04918
1-0-0-0-0-0-2-0-0-3;0.05299;0.03855;0.05081;0.07065;0.04997
0-1-2-0-0-0-3-0-0-0;0.05309;0.04065;0.05134;0.06848;0.05057
0-1-2-0-0-0-0-0-0-3;0.05244;0.04003;0.05056;0.06776;0.04955
0-1-0-0-0-0-2-0-0-3;0.05304;0.03946;0.05093;0.06976;0.05015
0-0-1-0-0-0-2-0-0-3;0.05195;0.03917;0.05019;0.06805;0.04926
1-2-3-0-0-0-4-0-0-0;0.04961;0.03903;0.04820;0.05987;0.04733
1-2-3-0-0-0-0-0-0-4;0.04949;0.03862;0.04800;0.05995;0.04699
1-2-0-0-0-0-3-0-0-4;0.04974;0.03833;0.04816;0.06064;0.04698
1-0-2-0-0-0-3-0-0-4;0.04891;0.03750;0.04723;0.05946;0.04620
0-1-2-0-0-0-3-0-0-4;0.04929;0.03814;0.04744;0.05909;0.04669
1-2-3-0-0-0-4-0-0-5;0.05209;0.04292;0.05138;0.06139;0.05019
