network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.33648;0.33648;0.33648;0.00000;nan;0.33648;0.32822
(b);0.30218;0.30218;0.30218;0.00000;nan;0.30218;0.28955
(c);0.30435;0.30435;0.30435;0.00000;nan;0.30435;0.28994
(d);0.30351;0.30351;0.30351;0.00000;nan;0.30351;0.28024
(e);0.30375;0.30375;0.30375;0.00000;nan;0.30375;0.29085
(a)>(b);0.29867;0.29867;0.29867;0.35165;0.33202;0.34657;0.28718
(a)>(c);0.30871;0.30871;0.30871;0.33588;0.32950;0.33333;0.29471
(a)>(d);0.31534;0.31534;0.31534;0.32143;0.32946;0.31915;0.29443
(a)>(e);0.33046;0.33046;0.33046;0.30370;0.29961;0.30258;0.31768
(b)>(c);0.30412;0.30412;0.30412;0.31395;0.32794;0.31274;0.28710
(b)>(d);0.29268;0.29268;0.29268;0.33083;0.31325;0.32714;0.27481
(b)>(e);0.31054;0.31054;0.31054;0.31395;0.30290;0.30916;0.28989
(c)>(d);0.30435;0.30435;0.30435;0.31343;0.31225;0.31111;0.28000
(c)>(e);0.31522;0.31522;0.31522;0.28968;0.28340;0.28968;0.29820
(d)>(e);0.29674;0.29674;0.29674;0.30075;0.30556;0.29963;0.27473
(a)>(b)>(c);0.29837;0.33813;0.34843;0.33882;0.34016;0.31621;0.27416
(a)>(b)>(d);0.29612;0.34657;0.34708;0.33861;0.32530;0.33205;0.27594
(a)>(b)>(e);0.31204;0.34909;0.36519;0.35948;0.30800;0.30739;0.28087
(a)>(c)>(d);0.30521;0.34035;0.34364;0.32484;0.32389;0.30620;0.27842
(a)>(c)>(e);0.31931;0.32404;0.33793;0.32353;0.30417;0.28629;0.29384
(a)>(d)>(e);0.31662;0.32374;0.33218;0.32154;0.31325;0.30502;0.28861
(b)>(c)>(d);0.28810;0.32847;0.33452;0.32680;0.30672;0.30924;0.26292
(b)>(c)>(e);0.30383;0.34444;0.34520;0.33110;0.28571;0.28163;0.28211
(b)>(d)>(e);0.30102;0.34066;0.35816;0.34437;0.29752;0.30435;0.26506
(c)>(d)>(e);0.30075;0.33217;0.33219;0.32353;0.28750;0.27823;0.27700
(a)>(b)>(c)>(d);0.28889;0.34007;0.33866;0.32537;0.35338;0.30081;0.26709
(a)>(b)>(c)>(e);0.30317;0.33784;0.35505;0.34242;0.35496;0.27686;0.27115
(a)>(b)>(d)>(e);0.29742;0.33910;0.34754;0.33028;0.35294;0.30120;0.26923
(a)>(c)>(d)>(e);0.30496;0.32441;0.33442;0.33437;0.33935;0.28099;0.27394
(b)>(c)>(d)>(e);0.28539;0.33798;0.34333;0.33229;0.32576;0.28033;0.25813
(a)>(b)>(c)>(d)>(e);0.33841;0.35740;0.35192;0.34114;0.34241;0.27311;0.26078
