;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.61307;0.61307;0.61307;0.00000;nan
0-1-0-0-0-0-0-0-0-0;0.61535;0.61535;0.61535;0.00000;nan
0-0-1-0-0-0-0-0-0-0;0.63000;0.63000;0.63000;0.00000;nan
0-0-0-0-0-0-1-0-0-0;0.61686;0.61686;0.61686;0.00000;nan
0-0-0-0-0-0-0-0-0-1;0.62391;0.62391;0.62391;0.00000;nan
1-2-0-0-0-0-0-0-0-0;0.61605;0.61605;0.61605;0.55662;0.61813
1-0-2-0-0-0-0-0-0-0;0.62756;0.62756;0.62756;0.54549;0.62094
1-0-0-0-0-0-2-0-0-0;0.62057;0.62057;0.62057;0.53848;0.61616
1-0-0-0-0-0-0-0-0-2;0.62490;0.62490;0.62490;0.53290;0.61717
0-1-2-0-0-0-0-0-0-0;0.62941;0.62941;0.62941;0.55055;0.61945
0-1-0-0-0-0-2-0-0-0;0.62579;0.62579;0.62579;0.54370;0.61392
0-1-0-0-0-0-0-0-0-2;0.62912;0.62912;0.62912;0.53761;0.61705
0-0-1-0-0-0-2-0-0-0;0.62747;0.62747;0.62747;0.56806;0.62223
0-0-1-0-0-0-0-0-0-2;0.63547;0.63547;0.63547;0.55791;0.62381
0-0-0-0-0-0-1-0-0-2;0.62858;0.62858;0.62858;0.54893;0.61821
1-2-3-0-0-0-0-0-0-0;0.62028;0.63388;0.63484;0.62328;0.61271
1-2-0-0-0-0-3-0-0-0;0.61710;0.63007;0.63162;0.61792;0.60920
1-2-0-0-0-0-0-0-0-3;0.61852;0.63433;0.63471;0.62130;0.60898
1-0-2-0-0-0-3-0-0-0;0.62084;0.63639;0.63817;0.62548;0.61232
1-0-2-0-0-0-0-0-0-3;0.62530;0.64064;0.64259;0.62763;0.61145
1-0-0-0-0-0-2-0-0-3;0.61903;0.63482;0.63669;0.62324;0.60798
0-1-2-0-0-0-3-0-0-0;0.62467;0.63410;0.63667;0.62579;0.61157
0-1-2-0-0-0-0-0-0-3;0.62778;0.64015;0.64115;0.62877;0.60998
0-1-0-0-0-0-2-0-0-3;0.62390;0.63536;0.63671;0.62491;0.60610
0-0-1-0-0-0-2-0-0-3;0.62774;0.63548;0.63574;0.62660;0.61446
1-2-3-0-0-0-4-0-0-0;0.61620;0.63721;0.64153;0.63602;0.63267
1-2-3-0-0-0-0-0-0-4;0.61842;0.63981;0.64323;0.63713;0.63604
1-2-0-0-0-0-3-0-0-4;0.61486;0.63850;0.64228;0.63609;0.63134
1-0-2-0-0-0-3-0-0-4;0.61872;0.64134;0.64594;0.63940;0.63575
0-1-2-0-0-0-3-0-0-4;0.62161;0.63872;0.64230;0.63796;0.63543
1-2-3-0-0-0-4-0-0-5;0.64328;0.64237;0.64355;0.63645;0.62805
