network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.89600;0.89600;0.89600;nan;nan;0.89600;0.89600
(b);0.89603;0.89603;0.89603;nan;nan;0.89603;0.89603
(c);0.89026;0.89026;0.89026;nan;nan;0.89026;0.89026
(d);0.89118;0.89118;0.89118;nan;nan;0.89118;0.89118
(e);0.88970;0.88970;0.88970;nan;nan;0.88970;0.88970
(a)>(b);0.90948;0.90948;0.90948;0.87985;0.91571;0.87985;0.90948
(a)>(c);0.90588;0.90588;0.90588;0.87762;0.91224;0.87762;0.90588
(a)>(d);0.90845;0.90845;0.90845;0.87668;0.91364;0.87668;0.90845
(a)>(e);0.90842;0.90842;0.90842;0.87502;0.91415;0.87502;0.90842
(b)>(c);0.90729;0.90729;0.90729;0.87552;0.91475;0.87552;0.90729
(b)>(d);0.90951;0.90951;0.90951;0.87483;0.91584;0.87483;0.90951
(b)>(e);0.90935;0.90935;0.90935;0.87350;0.91588;0.87350;0.90935
(c)>(d);0.90553;0.90553;0.90553;0.87294;0.91207;0.87294;0.90553
(c)>(e);0.90540;0.90540;0.90540;0.87182;0.91225;0.87182;0.90540
(d)>(e);0.90436;0.90436;0.90436;0.87470;0.90893;0.87470;0.90436
(a)>(b)>(c);0.89392;0.91851;0.89761;0.86490;0.89980;0.86873;0.91349
(a)>(b)>(d);0.89505;0.92012;0.89835;0.86383;0.90014;0.86744;0.91563
(a)>(b)>(e);0.89468;0.92019;0.89795;0.86270;0.90020;0.86645;0.91558
(a)>(c)>(d);0.89259;0.91752;0.89631;0.86303;0.89835;0.86641;0.91269
(a)>(c)>(e);0.89236;0.91806;0.89623;0.86193;0.89791;0.86516;0.91269
(a)>(d)>(e);0.89285;0.91744;0.89568;0.86329;0.89748;0.86642;0.91349
(b)>(c)>(d);0.89301;0.91937;0.89682;0.86042;0.89906;0.86486;0.91421
(b)>(c)>(e);0.89259;0.91941;0.89657;0.85952;0.89896;0.86382;0.91409
(b)>(d)>(e);0.89247;0.91906;0.89539;0.86127;0.89751;0.86494;0.91484
(c)>(d)>(e);0.89068;0.91641;0.89423;0.86038;0.89608;0.86390;0.91152
(a)>(b)>(c)>(d);0.90038;0.92209;0.90382;0.88168;0.90542;0.86037;0.91768
(a)>(b)>(c)>(e);0.90028;0.92221;0.90354;0.88090;0.90560;0.85960;0.91786
(a)>(b)>(d)>(e);0.90123;0.92249;0.90404;0.88132;0.90576;0.85998;0.91878
(a)>(c)>(d)>(e);0.89901;0.92063;0.90254;0.88015;0.90428;0.85923;0.91618
(b)>(c)>(d)>(e);0.89984;0.92190;0.90304;0.87869;0.90500;0.85811;0.91766
(a)>(b)>(c)>(d)>(e);0.89524;0.91262;0.89632;0.87661;0.89858;0.85474;0.92041
