;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.28519;0.28519;0.28519;nan;nan
0-1-0-0-0-0-0-0-0-0;0.14669;0.14669;0.14669;nan;nan
0-0-1-0-0-0-0-0-0-0;0.31667;0.31667;0.31667;nan;nan
0-0-0-0-0-0-1-0-0-0;0.32500;0.32500;0.32500;nan;nan
0-0-0-0-0-0-0-0-0-1;0.13542;0.13542;0.13542;nan;nan
1-2-0-0-0-0-0-0-0-0;0.11225;0.11225;0.11225;0.20370;0.11111
1-0-2-0-0-0-0-0-0-0;0.29778;0.29778;0.29778;nan;nan
1-0-0-0-0-0-2-0-0-0;0.25185;0.25185;0.25185;0.40000;nan
1-0-0-0-0-0-0-0-0-2;0.22528;0.22528;0.22528;nan;nan
0-1-2-0-0-0-0-0-0-0;0.23889;0.23889;0.23889;0.05556;nan
0-1-0-0-0-0-2-0-0-0;0.20278;0.20278;0.20278;0.22564;0.30000
0-1-0-0-0-0-0-0-0-2;0.16639;0.16639;0.16639;0.05128;nan
0-0-1-0-0-0-2-0-0-0;0.32083;0.32083;0.32083;0.05556;nan
0-0-1-0-0-0-0-0-0-2;0.19028;0.19028;0.19028;0.36111;nan
0-0-0-0-0-0-1-0-0-2;0.22361;0.22361;0.22361;0.25000;nan
1-2-3-0-0-0-0-0-0-0;0.23611;0.11111;0.11111;0.16667;nan
1-2-0-0-0-0-3-0-0-0;0.23403;0.11111;0.24306;0.17185;0.37500
1-2-0-0-0-0-0-0-0-3;0.14549;0.11111;0.11111;0.16560;nan
1-0-2-0-0-0-3-0-0-0;0.27778;nan;nan;0.22778;nan
1-0-2-0-0-0-0-0-0-3;0.23773;nan;nan;0.36111;nan
1-0-0-0-0-0-2-0-0-3;0.19410;nan;nan;0.32500;nan
0-1-2-0-0-0-3-0-0-0;0.21368;0.30000;0.17564;0.22778;0.05128
0-1-2-0-0-0-0-0-0-3;0.18866;nan;nan;0.20833;nan
0-1-0-0-0-0-2-0-0-3;0.16639;0.30000;0.30000;0.24231;nan
0-0-1-0-0-0-2-0-0-3;0.24271;nan;nan;0.22222;nan
1-2-3-0-0-0-4-0-0-0;0.23153;0.11111;0.17913;0.17292;0.21314
1-2-3-0-0-0-0-0-0-4;0.17639;0.11111;0.11111;0.20556;nan
1-2-0-0-0-0-3-0-0-4;0.19139;0.11111;0.24306;0.19261;0.37500
1-0-2-0-0-0-3-0-0-4;0.21528;nan;nan;0.26667;nan
0-1-2-0-0-0-3-0-0-4;0.18866;0.30000;0.30000;0.27201;nan
1-2-3-0-0-0-4-0-0-5;0.24306;nan;0.37500;0.23846;nan
