;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.60745;0.60745;0.60745;0.00000;nan
0-1-0-0-0-0-0-0-0-0;0.60940;0.60940;0.60940;0.00000;nan
0-0-1-0-0-0-0-0-0-0;0.62597;0.62597;0.62597;0.00000;nan
0-0-0-0-0-0-1-0-0-0;0.61240;0.61240;0.61240;0.00000;nan
0-0-0-0-0-0-0-0-0-1;0.61941;0.61941;0.61941;0.00000;nan
1-2-0-0-0-0-0-0-0-0;0.61844;0.61844;0.61844;0.54304;0.62166
1-0-2-0-0-0-0-0-0-0;0.63217;0.63217;0.63217;0.53169;0.62704
1-0-0-0-0-0-2-0-0-0;0.62580;0.62580;0.62580;0.52374;0.62315
1-0-0-0-0-0-0-0-0-2;0.62990;0.62990;0.62990;0.51828;0.62404
0-1-2-0-0-0-0-0-0-0;0.63277;0.63277;0.63277;0.53745;0.62432
0-1-0-0-0-0-2-0-0-0;0.62992;0.62992;0.62992;0.52962;0.61964
0-1-0-0-0-0-0-0-0-2;0.63323;0.63323;0.63323;0.52352;0.62296
0-0-1-0-0-0-2-0-0-0;0.63257;0.63257;0.63257;0.55479;0.62851
0-0-1-0-0-0-0-0-0-2;0.63996;0.63996;0.63996;0.54513;0.62978
0-0-0-0-0-0-1-0-0-2;0.63418;0.63418;0.63418;0.53478;0.62534
1-2-3-0-0-0-0-0-0-0;0.61554;0.64324;0.63053;0.60277;0.60799
1-2-0-0-0-0-3-0-0-0;0.61227;0.64021;0.62716;0.59624;0.60439
1-2-0-0-0-0-0-0-0-3;0.61370;0.64444;0.63017;0.59944;0.60416
1-0-2-0-0-0-3-0-0-0;0.61677;0.64801;0.63462;0.60385;0.60819
1-0-2-0-0-0-0-0-0-3;0.62122;0.65190;0.63882;0.60599;0.60727
1-0-0-0-0-0-2-0-0-3;0.61483;0.64733;0.63300;0.60030;0.60363
0-1-2-0-0-0-3-0-0-0;0.62030;0.64439;0.63296;0.60516;0.60727
0-1-2-0-0-0-0-0-0-3;0.62341;0.65033;0.63726;0.60797;0.60563
0-1-0-0-0-0-2-0-0-3;0.61954;0.64671;0.63289;0.60281;0.60168
0-0-1-0-0-0-2-0-0-3;0.62393;0.64691;0.63239;0.60585;0.61065
1-2-3-0-0-0-4-0-0-0;0.61592;0.65062;0.64193;0.62354;0.63300
1-2-3-0-0-0-0-0-0-4;0.61796;0.65307;0.64333;0.62423;0.63612
1-2-0-0-0-0-3-0-0-4;0.61452;0.65282;0.64257;0.62280;0.63157
1-0-2-0-0-0-3-0-0-4;0.61899;0.65635;0.64684;0.62683;0.63664
0-1-2-0-0-0-3-0-0-4;0.62135;0.65272;0.64289;0.62566;0.63585
1-2-3-0-0-0-4-0-0-5;0.63881;0.64849;0.63890;0.62126;0.62395
