;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.89997;0.89997;0.89997;nan;nan
0-1-0-0-0-0-0-0-0-0;0.90092;0.90092;0.90092;nan;nan
0-0-1-0-0-0-0-0-0-0;0.90415;0.90415;0.90415;nan;nan
0-0-0-0-0-0-1-0-0-0;0.89999;0.89999;0.89999;nan;nan
0-0-0-0-0-0-0-0-0-1;0.90478;0.90478;0.90478;nan;nan
1-2-0-0-0-0-0-0-0-0;0.90143;0.90143;0.90143;0.89893;0.90456
1-0-2-0-0-0-0-0-0-0;0.90242;0.90242;0.90242;0.90090;0.90692
1-0-0-0-0-0-2-0-0-0;0.90053;0.90053;0.90053;0.89846;0.90543
1-0-0-0-0-0-0-0-0-2;0.90263;0.90263;0.90263;0.90133;0.90833
0-1-2-0-0-0-0-0-0-0;0.90288;0.90288;0.90288;0.90146;0.90708
0-1-0-0-0-0-2-0-0-0;0.90098;0.90098;0.90098;0.89901;0.90560
0-1-0-0-0-0-0-0-0-2;0.90301;0.90301;0.90301;0.90178;0.90799
0-0-1-0-0-0-2-0-0-0;0.90288;0.90288;0.90288;0.90059;0.90667
0-0-1-0-0-0-0-0-0-2;0.90456;0.90456;0.90456;0.90374;0.90920
0-0-0-0-0-0-1-0-0-2;0.90301;0.90301;0.90301;0.90093;0.90754
1-2-3-0-0-0-0-0-0-0;0.90086;0.90443;0.90327;0.89590;0.90633
1-2-0-0-0-0-3-0-0-0;0.89997;0.90323;0.90252;0.89356;0.90592
1-2-0-0-0-0-0-0-0-3;0.90116;0.90486;0.90383;0.89542;0.90747
1-0-2-0-0-0-3-0-0-0;0.90107;0.90437;0.90406;0.89484;0.90723
1-0-2-0-0-0-0-0-0-3;0.90230;0.90578;0.90550;0.89652;0.90916
1-0-0-0-0-0-2-0-0-3;0.90114;0.90507;0.90478;0.89458;0.90813
0-1-2-0-0-0-3-0-0-0;0.90120;0.90455;0.90391;0.89533;0.90712
0-1-2-0-0-0-0-0-0-3;0.90252;0.90592;0.90564;0.89730;0.90897
0-1-0-0-0-0-2-0-0-3;0.90127;0.90522;0.90476;0.89533;0.90782
0-0-1-0-0-0-2-0-0-3;0.90271;0.90593;0.90586;0.89680;0.90870
1-2-3-0-0-0-4-0-0-0;0.90170;0.90299;0.90366;0.89960;0.90577
1-2-3-0-0-0-0-0-0-4;0.90231;0.90407;0.90452;0.90042;0.90677
1-2-0-0-0-0-3-0-0-4;0.90164;0.90299;0.90387;0.89940;0.90646
1-0-2-0-0-0-3-0-0-4;0.90228;0.90391;0.90496;0.90071;0.90716
0-1-2-0-0-0-3-0-0-4;0.90254;0.90416;0.90520;0.90111;0.90720
1-2-3-0-0-0-4-0-0-5;0.90317;0.90606;0.90488;0.90095;0.90700
