network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.81419;0.81419;0.81419;nan;nan;0.81419;0.81419
(b);0.81521;0.81521;0.81521;nan;nan;0.81521;0.81521
(c);0.80927;0.80927;0.80927;nan;nan;0.80927;0.80927
(d);0.80736;0.80736;0.80736;nan;nan;0.80736;0.80736
(e);0.80608;0.80608;0.80608;nan;nan;0.80608;0.80608
(a)>(b);0.81329;0.81329;0.81329;0.81665;0.82011;0.81665;0.81329
(a)>(c);0.81041;0.81041;0.81041;0.81338;0.81703;0.81338;0.81041
(a)>(d);0.81018;0.81018;0.81018;0.81139;0.81590;0.81139;0.81018
(a)>(e);0.80960;0.80960;0.80960;0.81096;0.81606;0.81096;0.80960
(b)>(c);0.81030;0.81030;0.81030;0.81409;0.81794;0.81409;0.81030
(b)>(d);0.81056;0.81056;0.81056;0.81234;0.81740;0.81234;0.81056
(b)>(e);0.80966;0.80966;0.80966;0.81183;0.81728;0.81183;0.80966
(c)>(d);0.80729;0.80729;0.80729;0.80930;0.81424;0.80930;0.80729
(c)>(e);0.80688;0.80688;0.80688;0.80907;0.81467;0.80907;0.80688
(d)>(e);0.80611;0.80611;0.80611;0.80734;0.81181;0.80734;0.80611
(a)>(b)>(c);0.81225;0.81372;0.81706;0.80792;0.82299;0.81363;0.81372
(a)>(b)>(d);0.81283;0.81363;0.81733;0.80679;0.82213;0.81193;0.81363
(a)>(b)>(e);0.81213;0.81291;0.81637;0.80569;0.82277;0.81189;0.81291
(a)>(c)>(d);0.80998;0.81190;0.81466;0.80470;0.82003;0.80995;0.81190
(a)>(c)>(e);0.80929;0.81163;0.81407;0.80419;0.81991;0.80967;0.81163
(a)>(d)>(e);0.80834;0.81108;0.81284;0.80427;0.81757;0.80880;0.81108
(b)>(c)>(d);0.81060;0.81207;0.81579;0.80434;0.82183;0.81073;0.81207
(b)>(c)>(e);0.80982;0.81139;0.81500;0.80373;0.82190;0.81051;0.81139
(b)>(d)>(e);0.80852;0.81125;0.81288;0.80385;0.81902;0.80953;0.81125
(c)>(d)>(e);0.80672;0.80963;0.81175;0.80192;0.81713;0.80760;0.80963
(a)>(b)>(c)>(d);0.81143;0.80998;0.81534;0.81253;0.81886;0.80973;0.80998
(a)>(b)>(c)>(e);0.81125;0.80952;0.81485;0.81180;0.81879;0.80980;0.80952
(a)>(b)>(d)>(e);0.81056;0.80958;0.81422;0.81154;0.81777;0.80898;0.80958
(a)>(c)>(d)>(e);0.80841;0.80866;0.81265;0.81015;0.81615;0.80756;0.80866
(b)>(c)>(d)>(e);0.80932;0.80826;0.81322;0.80941;0.81743;0.80817;0.80826
(a)>(b)>(c)>(d)>(e);0.81335;0.81543;0.81643;0.81193;0.81956;0.80741;0.80987
