network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.05011;0.05011;0.05011;nan;nan;0.05011;0.05011
(b);0.04929;0.04929;0.04929;nan;nan;0.04929;0.04929
(c);0.04966;0.04966;0.04966;nan;nan;0.04966;0.04966
(d);0.05191;0.05191;0.05191;nan;nan;0.05191;0.05191
(e);0.05185;0.05185;0.05185;nan;nan;0.05185;0.05185
(a)>(b);0.05878;0.05878;0.05878;0.03881;0.05813;0.03881;0.05878
(a)>(c);0.05852;0.05852;0.05852;0.03972;0.05809;0.03972;0.05852
(a)>(d);0.06039;0.06039;0.06039;0.04045;0.05982;0.04045;0.06039
(a)>(e);0.06085;0.06085;0.06085;0.03982;0.06015;0.03982;0.06085
(b)>(c);0.05938;0.05938;0.05938;0.03789;0.05892;0.03789;0.05938
(b)>(d);0.06085;0.06085;0.06085;0.03856;0.06005;0.03856;0.06085
(b)>(e);0.06127;0.06127;0.06127;0.03824;0.06026;0.03824;0.06127
(c)>(d);0.06062;0.06062;0.06062;0.03944;0.05998;0.03944;0.06062
(c)>(e);0.06082;0.06082;0.06082;0.03899;0.05986;0.03899;0.06082
(d)>(e);0.06093;0.06093;0.06093;0.04210;0.05993;0.04210;0.06093
(a)>(b)>(c);0.05015;0.06407;0.04921;0.03537;0.04681;0.03418;0.06407
(a)>(b)>(d);0.05054;0.06523;0.04961;0.03554;0.04753;0.03438;0.06523
(a)>(b)>(e);0.05075;0.06580;0.04995;0.03548;0.04725;0.03389;0.06580
(a)>(c)>(d);0.05088;0.06484;0.05014;0.03640;0.04785;0.03516;0.06484
(a)>(c)>(e);0.05122;0.06535;0.05042;0.03608;0.04777;0.03460;0.06535
(a)>(d)>(e);0.05226;0.06546;0.05108;0.03690;0.04911;0.03595;0.06546
(b)>(c)>(d);0.05073;0.06584;0.04961;0.03502;0.04707;0.03362;0.06584
(b)>(c)>(e);0.05100;0.06630;0.05000;0.03489;0.04703;0.03316;0.06630
(b)>(d)>(e);0.05187;0.06628;0.05072;0.03594;0.04810;0.03452;0.06628
(c)>(d)>(e);0.05207;0.06582;0.05094;0.03664;0.04856;0.03512;0.06582
(a)>(b)>(c)>(d);0.05459;0.06893;0.05412;0.04268;0.05277;0.03156;0.06893
(a)>(b)>(c)>(e);0.05469;0.06931;0.05424;0.04262;0.05295;0.03110;0.06931
(a)>(b)>(d)>(e);0.05575;0.06955;0.05509;0.04328;0.05374;0.03182;0.06955
(a)>(c)>(d)>(e);0.05592;0.06901;0.05528;0.04332;0.05403;0.03233;0.06901
(b)>(c)>(d)>(e);0.05585;0.07012;0.05520;0.04295;0.05366;0.03118;0.07012
(a)>(b)>(c)>(d)>(e);0.05030;0.05952;0.04893;0.04004;0.04823;0.02961;0.07193
