network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.18700;0.18700;0.18700;0.58270;nan;0.18700;0.18700
(b);0.19355;0.19355;0.19355;0.58308;nan;0.19355;0.19355
(c);0.19088;0.19088;0.19088;0.58182;nan;0.19088;0.19088
(d);0.19468;0.19468;0.19468;0.58273;nan;0.19468;0.19468
(e);0.19822;0.19822;0.19822;0.58425;nan;0.19822;0.19822
(a)>(b);0.15476;0.15476;0.15476;0.20444;0.22828;0.23010;0.15476
(a)>(c);0.15177;0.15177;0.15177;0.20322;0.22881;0.23017;0.15177
(a)>(d);0.16208;0.16208;0.16208;0.19978;0.22136;0.22203;0.16208
(a)>(e);0.15891;0.15891;0.15891;0.20508;0.22915;0.23046;0.15891
(b)>(c);0.14830;0.14830;0.14830;0.20872;0.23827;0.24079;0.14830
(b)>(d);0.15709;0.15709;0.15709;0.20687;0.23490;0.23529;0.15709
(b)>(e);0.15859;0.15859;0.15859;0.20941;0.23523;0.23666;0.15859
(c)>(d);0.15417;0.15417;0.15417;0.20670;0.23303;0.23485;0.15417
(c)>(e);0.15294;0.15294;0.15294;0.21062;0.23888;0.24138;0.15294
(d)>(e);0.16696;0.16696;0.16696;0.20575;0.22770;0.22832;0.16696
(a)>(b)>(c);0.13390;0.18878;0.18829;0.19290;0.25389;0.25773;0.18878
(a)>(b)>(d);0.14232;0.19175;0.19080;0.19398;0.24645;0.24941;0.19175
(a)>(b)>(e);0.14103;0.19208;0.19099;0.19525;0.25079;0.25453;0.19208
(a)>(c)>(d);0.13850;0.19202;0.19004;0.19437;0.24613;0.24989;0.19202
(a)>(c)>(e);0.13617;0.19316;0.19149;0.19620;0.25226;0.25667;0.19316
(a)>(d)>(e);0.14653;0.19403;0.19272;0.19682;0.24258;0.24588;0.19403
(b)>(c)>(d);0.13432;0.19314;0.19202;0.19585;0.25830;0.26208;0.19314
(b)>(c)>(e);0.13400;0.19378;0.19363;0.19831;0.26062;0.26446;0.19378
(b)>(d)>(e);0.14336;0.19474;0.19329;0.19763;0.25215;0.25501;0.19474
(c)>(d)>(e);0.14002;0.19540;0.19532;0.19905;0.25355;0.25690;0.19540
(a)>(b)>(c)>(d);0.12652;0.17333;0.17158;0.17353;0.20914;0.26999;0.17333
(a)>(b)>(c)>(e);0.12514;0.17243;0.17029;0.17296;0.21139;0.27413;0.17243
(a)>(b)>(d)>(e);0.13342;0.17516;0.17346;0.17583;0.21099;0.26486;0.17516
(a)>(c)>(d)>(e);0.12846;0.17694;0.17441;0.17722;0.21024;0.26691;0.17694
(b)>(c)>(d)>(e);0.12675;0.17350;0.17226;0.17402;0.21614;0.27484;0.17350
(a)>(b)>(c)>(d)>(e);0.15966;0.19294;0.19221;0.19389;0.22482;0.28155;0.19441
