;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.06944;0.06944;0.06944;nan;nan
0-1-0-0-0-0-0-0-0-0;0.09708;0.09708;0.09708;nan;nan
0-0-1-0-0-0-0-0-0-0;0.07500;0.07500;0.07500;nan;nan
0-0-0-0-0-0-1-0-0-0;0.05000;0.05000;0.05000;nan;nan
0-0-0-0-0-0-0-0-0-1;0.12500;0.12500;0.12500;nan;nan
1-2-0-0-0-0-0-0-0-0;0.02944;0.02944;0.02944;0.10370;0.03704
1-0-2-0-0-0-0-0-0-0;0.07167;0.07167;0.07167;nan;nan
1-0-0-0-0-0-2-0-0-0;0.02778;0.02778;0.02778;0.12500;nan
1-0-0-0-0-0-0-0-0-2;0.09167;0.09167;0.09167;nan;nan
0-1-2-0-0-0-0-0-0-0;0.09741;0.09741;0.09741;0.05556;nan
0-1-0-0-0-0-2-0-0-0;0.07801;0.07801;0.07801;0.08814;0.10000
0-1-0-0-0-0-0-0-0-2;0.11741;0.11741;0.11741;0.05128;nan
0-0-1-0-0-0-2-0-0-0;0.06250;0.06250;0.06250;0.05556;nan
0-0-1-0-0-0-0-0-0-2;0.13333;0.13333;0.13333;0.00000;nan
0-0-0-0-0-0-1-0-0-2;0.11667;0.11667;0.11667;0.02778;nan
1-2-3-0-0-0-0-0-0-0;0.04676;0.03704;0.03704;0.09167;nan
1-2-0-0-0-0-3-0-0-0;0.04051;0.03704;0.08102;0.09060;0.12500
1-2-0-0-0-0-0-0-0-3;0.07176;0.03704;0.03704;0.09060;nan
1-0-2-0-0-0-3-0-0-0;0.04667;nan;nan;0.09028;nan
1-0-2-0-0-0-0-0-0-3;0.10139;nan;nan;0.00000;nan
1-0-0-0-0-0-2-0-0-3;0.08333;nan;nan;0.07639;nan
0-1-2-0-0-0-3-0-0-0;0.07333;0.10000;0.07564;0.09028;0.05128
0-1-2-0-0-0-0-0-0-3;0.12284;nan;nan;0.02778;nan
0-1-0-0-0-0-2-0-0-3;0.11241;0.10000;0.10000;0.06802;nan
0-0-1-0-0-0-2-0-0-3;0.12500;nan;nan;0.02778;nan
1-2-3-0-0-0-4-0-0-0;0.05190;0.03704;0.07111;0.09167;0.08814
1-2-3-0-0-0-0-0-0-4;0.08741;0.03704;0.03704;0.07333;nan
1-2-0-0-0-0-3-0-0-4;0.08241;0.03704;0.08102;0.07803;0.12500
1-0-2-0-0-0-3-0-0-4;0.09667;nan;nan;0.05208;nan
0-1-2-0-0-0-3-0-0-4;0.11867;0.10000;0.10000;0.05101;nan
1-2-3-0-0-0-4-0-0-5;0.08102;nan;0.12500;0.08814;nan
