;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.01587;0.01587;0.01587;0.97595;nan
0-1-0-0-0-0-0-0-0-0;0.00535;0.00535;0.00535;0.97506;nan
0-0-1-0-0-0-0-0-0-0;0.02105;0.02105;0.02105;0.97479;nan
0-0-0-0-0-0-1-0-0-0;0.03627;0.03627;0.03627;0.97481;nan
0-0-0-0-0-0-0-0-0-1;0.04615;0.04615;0.04615;0.97499;nan
1-2-0-0-0-0-0-0-0-0;0.01587;0.01587;0.01587;0.86273;0.00000
1-0-2-0-0-0-0-0-0-0;0.03125;0.03125;0.03125;0.88659;0.00000
1-0-0-0-0-0-2-0-0-0;0.04615;0.04615;0.04615;0.89039;0.00535
1-0-0-0-0-0-0-0-0-2;0.05102;0.05102;0.05102;0.89951;0.00535
0-1-2-0-0-0-0-0-0-0;0.02105;0.02105;0.02105;0.87819;0.00000
0-1-0-0-0-0-2-0-0-0;0.03125;0.03125;0.03125;0.87819;0.01064
0-1-0-0-0-0-0-0-0-2;0.04615;0.04615;0.04615;0.89230;0.00000
0-0-1-0-0-0-2-0-0-0;0.04124;0.04124;0.04124;0.85024;0.00000
0-0-1-0-0-0-0-0-0-2;0.06061;0.06061;0.06061;0.86874;0.00535
0-0-0-0-0-0-1-0-0-2;0.06533;0.06533;0.06533;0.87715;0.01064
1-2-3-0-0-0-0-0-0-0;0.02618;0.00000;0.00000;0.01064;0.00000
1-2-0-0-0-0-3-0-0-0;0.04124;0.01587;0.01587;0.03125;0.00000
1-2-0-0-0-0-0-0-0-3;0.04615;0.00535;0.00535;0.01587;0.00000
1-0-2-0-0-0-3-0-0-0;0.05584;0.00535;0.00535;0.01587;0.00535
1-0-2-0-0-0-0-0-0-3;0.06533;0.01064;0.01064;0.01064;0.00000
1-0-0-0-0-0-2-0-0-3;0.07463;0.01587;0.01587;0.02105;0.00535
0-1-2-0-0-0-3-0-0-0;0.04615;0.00535;0.01064;0.02105;0.00535
0-1-2-0-0-0-0-0-0-3;0.06061;0.00535;0.00535;0.01064;0.00000
0-1-0-0-0-0-2-0-0-3;0.07000;0.00000;0.01064;0.01587;0.01587
0-0-1-0-0-0-2-0-0-3;0.07921;0.01064;0.01064;0.02105;0.00000
1-2-3-0-0-0-4-0-0-0;0.05584;0.00535;0.01064;0.02618;0.00535
1-2-3-0-0-0-0-0-0-4;0.06061;0.01064;0.01064;0.02105;0.00000
1-2-0-0-0-0-3-0-0-4;0.07463;0.00535;0.01587;0.02618;0.01064
1-0-2-0-0-0-3-0-0-4;0.08374;0.01587;0.01587;0.02618;0.00000
0-1-2-0-0-0-3-0-0-4;0.07921;0.00535;0.01064;0.02618;0.00535
1-2-3-0-0-0-4-0-0-5;0.01587;0.00000;0.00535;0.02105;0.00000
