;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;8170;8170;8170;0;0
0-1-0-0-0-0-0-0-0-0;8050;8050;8050;0;0
0-0-1-0-0-0-0-0-0-0;8089;8089;8089;0;0
0-0-0-0-0-0-1-0-0-0;8002;8002;8002;0;0
0-0-0-0-0-0-0-0-0-1;8031;8031;8031;0;0
1-2-0-0-0-0-0-0-0-0;8375;8375;8375;7836;7860
1-0-2-0-0-0-0-0-0-0;8521;8521;8521;7733;7760
1-0-0-0-0-0-2-0-0-0;8485;8485;8485;7687;7712
1-0-0-0-0-0-0-0-0-2;8537;8537;8537;7649;7671
0-1-2-0-0-0-0-0-0-0;8449;8449;8449;7689;7705
0-1-0-0-0-0-2-0-0-0;8425;8425;8425;7631;7658
0-1-0-0-0-0-0-0-0-2;8484;8484;8484;7601;7629
0-0-1-0-0-0-2-0-0-0;8324;8324;8324;7776;7772
0-0-1-0-0-0-0-0-0-2;8421;8421;8421;7693;7719
0-0-0-0-0-0-1-0-0-2;8389;8389;8389;7642;7657
1-2-3-0-0-0-0-0-0-0;8600;8159;8173;8122;7591
1-2-0-0-0-0-3-0-0-0;8586;8129;8145;8088;7553
1-2-0-0-0-0-0-0-0-3;8624;8157;8165;8108;7504
1-0-2-0-0-0-3-0-0-0;8609;8129;8143;8090;7559
1-0-2-0-0-0-0-0-0-3;8676;8162;8179;8106;7502
1-0-0-0-0-0-2-0-0-3;8652;8106;8124;8070;7468
0-1-2-0-0-0-3-0-0-0;8561;8085;8107;8068;7527
0-1-2-0-0-0-0-0-0-3;8620;8129;8135;8085;7459
0-1-0-0-0-0-2-0-0-3;8609;8085;8098;8053;7428
0-0-1-0-0-0-2-0-0-3;8525;8071;8075;8048;7541
1-2-3-0-0-0-4-0-0-0;8672;8329;8358;8338;7937
1-2-3-0-0-0-0-0-0-4;8723;8352;8375;8347;7958
1-2-0-0-0-0-3-0-0-4;8716;8333;8357;8332;7924
1-0-2-0-0-0-3-0-0-4;8730;8304;8334;8301;7953
0-1-2-0-0-0-3-0-0-4;8679;8263;8285;8273;7929
1-2-3-0-0-0-4-0-0-5;8464;8150;8165;8129;7794
