network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.54077;0.54077;0.54077;1.00000;nan;0.54077;0.54077
(b);0.56696;0.56696;0.56696;1.00000;nan;0.56696;0.56696
(c);0.57205;0.57205;0.57205;1.00000;nan;0.57205;0.57205
(d);0.58150;0.58150;0.58150;1.00000;nan;0.58150;0.58150
(e);0.58986;0.58986;0.58986;1.00000;nan;0.58986;0.58986
(a)>(b);0.51931;0.51931;0.51931;0.57895;0.61111;0.57895;0.51931
(a)>(c);0.51452;0.51452;0.51452;0.60538;0.61086;0.60538;0.51452
(a)>(d);0.52766;0.52766;0.52766;0.60352;0.61538;0.60352;0.52766
(a)>(e);0.50644;0.50644;0.50644;0.62557;0.63850;0.62557;0.50644
(b)>(c);0.50833;0.50833;0.50833;0.62844;0.62500;0.62844;0.50833
(b)>(d);0.53448;0.53448;0.53448;0.60714;0.63889;0.60714;0.53448
(b)>(e);0.52609;0.52609;0.52609;0.62500;0.65072;0.62500;0.52609
(c)>(d);0.52941;0.52941;0.52941;0.62162;0.63761;0.62162;0.52941
(c)>(e);0.51261;0.51261;0.51261;0.65403;0.66507;0.65403;0.51261
(d)>(e);0.56140;0.56140;0.56140;0.62791;0.63850;0.62791;0.56140
(a)>(b)>(c);0.48178;0.57848;0.56332;0.55983;0.62100;0.63303;0.49378
(a)>(b)>(d);0.49378;0.57333;0.55895;0.54661;0.62844;0.61607;0.50633
(a)>(b)>(e);0.48163;0.56757;0.54077;0.53191;0.64352;0.63761;0.50427
(a)>(c)>(d);0.49590;0.57456;0.56522;0.56410;0.63470;0.63927;0.50413
(a)>(c)>(e);0.47561;0.58296;0.57018;0.56957;0.65728;0.66509;0.48548
(a)>(d)>(e);0.49791;0.59459;0.57709;0.56522;0.63889;0.63594;0.51282
(b)>(c)>(d);0.50000;0.59459;0.58222;0.56710;0.65728;0.64679;0.51046
(b)>(c)>(e);0.48374;0.57919;0.56889;0.56579;0.67464;0.67299;0.49174
(b)>(d)>(e);0.50628;0.58108;0.55895;0.54978;0.66038;0.64352;0.52586
(c)>(d)>(e);0.50207;0.58333;0.57642;0.57143;0.66986;0.67143;0.50833
(a)>(b)>(c)>(d);0.47581;0.56087;0.54894;0.54202;0.58222;0.65741;0.48560
(a)>(b)>(c)>(e);0.46400;0.55752;0.53617;0.52720;0.58296;0.68095;0.48133
(a)>(b)>(d)>(e);0.47951;0.56250;0.54113;0.53648;0.57709;0.65278;0.49789
(a)>(c)>(d)>(e);0.47561;0.57080;0.55411;0.54043;0.58772;0.67619;0.48963
(b)>(c)>(d)>(e);0.48770;0.56502;0.54825;0.53913;0.61086;0.68095;0.50209
(a)>(b)>(c)>(d)>(e);0.53165;0.56388;0.56087;0.55652;0.60538;0.68900;0.47737
