network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.06667;0.06667;0.06667;nan;nan;0.06667;0.06667
(b);0.12500;0.12500;0.12500;nan;nan;0.12500;0.12500
(c);0.09708;0.09708;0.09708;nan;nan;0.09708;0.09708
(d);0.07569;0.07569;0.07569;nan;nan;0.07569;0.07569
(e);0.12500;0.12500;0.12500;nan;nan;0.12500;0.12500
(a)>(b);0.10333;0.10333;0.10333;0.00000;nan;0.00000;0.10333
(a)>(c);0.06074;0.06074;0.06074;0.11852;0.07500;0.11852;0.06074
(a)>(d);0.05333;0.05333;0.05333;0.08264;0.07500;0.08264;0.05333
(a)>(e);0.06667;0.06667;0.06667;0.10185;0.11250;0.10185;0.06667
(b)>(c);0.10301;0.10301;0.10301;0.11314;nan;0.11314;0.10301
(b)>(d);0.13125;0.13125;0.13125;0.01389;nan;0.01389;0.13125
(b)>(e);0.12500;0.12500;0.12500;nan;nan;nan;0.12500
(c)>(d);0.08580;0.08580;0.08580;0.08814;0.10000;0.08814;0.08580
(c)>(e);0.09568;0.09568;0.09568;0.10043;0.07500;0.10043;0.09568
(d)>(e);0.06944;0.06944;0.06944;0.13750;0.12500;0.13750;0.06944
(a)>(b)>(c);0.09228;0.07500;0.07500;0.08889;nan;0.11528;0.09228
(a)>(b)>(d);0.08611;0.11250;0.07500;0.07167;0.00000;0.02778;0.10333
(a)>(b)>(e);0.10333;0.11250;0.11250;0.07639;nan;0.05556;0.10333
(a)>(c)>(d);0.05428;0.07500;0.07532;0.10611;0.07564;0.09028;0.05062
(a)>(c)>(e);0.05916;0.11250;0.09209;0.12014;0.06314;0.10185;0.06074
(a)>(d)>(e);0.05833;0.07500;0.08333;0.08264;0.12500;0.11019;0.05333
(b)>(c)>(d);0.11241;0.10000;0.10000;0.07581;nan;0.05128;0.11241
(b)>(c)>(e);0.10741;0.07500;0.07500;0.10043;nan;0.08814;0.10741
(b)>(d)>(e);0.12500;0.12500;0.12500;0.07569;nan;nan;0.12500
(c)>(d)>(e);0.06796;0.12500;0.13750;0.11907;0.10000;0.08814;0.06296
(a)>(b)>(c)>(d);0.08267;0.11250;0.08333;0.09234;0.05000;0.05556;0.09228
(a)>(b)>(c)>(e);0.09228;0.11250;0.11250;0.08782;0.07500;0.09028;0.09228
(a)>(b)>(d)>(e);0.09028;0.11250;0.08333;0.07569;0.08333;0.05556;0.10333
(a)>(c)>(d)>(e);0.05478;0.07500;0.08333;0.09026;0.12500;0.09028;0.05062
(b)>(c)>(d)>(e);0.11241;0.12500;0.13750;0.09056;0.10000;0.05128;0.10741
(a)>(b)>(c)>(d)>(e);0.08333;0.11250;0.08333;0.08157;0.07500;0.05556;0.09228
