;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.89172;0.89172;0.89172;nan;nan
0-1-0-0-0-0-0-0-0-0;0.89221;0.89221;0.89221;nan;nan
0-0-1-0-0-0-0-0-0-0;0.89836;0.89836;0.89836;nan;nan
0-0-0-0-0-0-1-0-0-0;0.89350;0.89350;0.89350;nan;nan
0-0-0-0-0-0-0-0-0-1;0.89825;0.89825;0.89825;nan;nan
1-2-0-0-0-0-0-0-0-0;0.90493;0.90493;0.90493;0.87699;0.90972
1-0-2-0-0-0-0-0-0-0;0.90905;0.90905;0.90905;0.87810;0.91584
1-0-0-0-0-0-2-0-0-0;0.90811;0.90811;0.90811;0.87387;0.91571
1-0-0-0-0-0-0-0-0-2;0.90985;0.90985;0.90985;0.87661;0.91843
0-1-2-0-0-0-0-0-0-0;0.90771;0.90771;0.90771;0.88002;0.91422
0-1-0-0-0-0-2-0-0-0;0.90693;0.90693;0.90693;0.87573;0.91403
0-1-0-0-0-0-0-0-0-2;0.90891;0.90891;0.90891;0.87815;0.91669
0-0-1-0-0-0-2-0-0-0;0.91021;0.91021;0.91021;0.87955;0.91582
0-0-1-0-0-0-0-0-0-2;0.91096;0.91096;0.91096;0.88304;0.91791
0-0-0-0-0-0-1-0-0-2;0.91106;0.91106;0.91106;0.87770;0.91801
1-2-3-0-0-0-0-0-0-0;0.89397;0.91780;0.89714;0.86641;0.89934
1-2-0-0-0-0-3-0-0-0;0.89293;0.91776;0.89613;0.86222;0.89877
1-2-0-0-0-0-0-0-0-3;0.89413;0.91929;0.89737;0.86392;0.90029
1-0-2-0-0-0-3-0-0-0;0.89517;0.92088;0.89902;0.86390;0.90111
1-0-2-0-0-0-0-0-0-3;0.89641;0.92170;0.90018;0.86561;0.90295
1-0-0-0-0-0-2-0-0-3;0.89503;0.92291;0.89953;0.86166;0.90164
0-1-2-0-0-0-3-0-0-0;0.89491;0.91922;0.89865;0.86581;0.90075
0-1-2-0-0-0-0-0-0-3;0.89624;0.92033;0.90015;0.86762;0.90250
0-1-0-0-0-0-2-0-0-3;0.89496;0.92139;0.89933;0.86367;0.90119
0-0-1-0-0-0-2-0-0-3;0.89723;0.92222;0.90108;0.86711;0.90306
1-2-3-0-0-0-4-0-0-0;0.90129;0.92199;0.90422;0.88195;0.90625
1-2-3-0-0-0-0-0-0-4;0.90165;0.92281;0.90467;0.88219;0.90690
1-2-0-0-0-0-3-0-0-4;0.90114;0.92324;0.90429;0.88060;0.90680
1-0-2-0-0-0-3-0-0-4;0.90267;0.92507;0.90622;0.88300;0.90843
0-1-2-0-0-0-3-0-0-4;0.90216;0.92398;0.90604;0.88374;0.90778
1-2-3-0-0-0-4-0-0-5;0.89690;0.91470;0.89834;0.87945;0.90108
