;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.45717;0.45717;0.45717;nan;nan
0-1-0-0-0-0-0-0-0-0;0.45904;0.45904;0.45904;nan;nan
0-0-1-0-0-0-0-0-0-0;0.46291;0.46291;0.46291;nan;nan
0-0-0-0-0-0-1-0-0-0;0.46045;0.46045;0.46045;nan;nan
0-0-0-0-0-0-0-0-0-1;0.46208;0.46208;0.46208;nan;nan
1-2-0-0-0-0-0-0-0-0;0.46204;0.46204;0.46204;0.45521;0.46448
1-0-2-0-0-0-0-0-0-0;0.46352;0.46352;0.46352;0.45763;0.46783
1-0-0-0-0-0-2-0-0-0;0.46300;0.46300;0.46300;0.45550;0.46758
1-0-0-0-0-0-0-0-0-2;0.46382;0.46382;0.46382;0.45683;0.46868
0-1-2-0-0-0-0-0-0-0;0.46442;0.46442;0.46442;0.45854;0.46865
0-1-0-0-0-0-2-0-0-0;0.46382;0.46382;0.46382;0.45632;0.46790
0-1-0-0-0-0-0-0-0-2;0.46452;0.46452;0.46452;0.45760;0.46856
0-0-1-0-0-0-2-0-0-0;0.46592;0.46592;0.46592;0.45799;0.46929
0-0-1-0-0-0-0-0-0-2;0.46581;0.46581;0.46581;0.46028;0.46997
0-0-0-0-0-0-1-0-0-2;0.46565;0.46565;0.46565;0.45801;0.46982
1-2-3-0-0-0-0-0-0-0;0.45986;0.46742;0.46182;0.45234;0.46429
1-2-0-0-0-0-3-0-0-0;0.45958;0.46715;0.46134;0.45028;0.46400
1-2-0-0-0-0-0-0-0-3;0.46026;0.46775;0.46210;0.45144;0.46470
1-0-2-0-0-0-3-0-0-0;0.46080;0.46887;0.46343;0.45176;0.46590
1-0-2-0-0-0-0-0-0-3;0.46121;0.46923;0.46401;0.45291;0.46661
1-0-0-0-0-0-2-0-0-3;0.46092;0.46960;0.46380;0.45096;0.46636
0-1-2-0-0-0-3-0-0-0;0.46121;0.46912;0.46349;0.45222;0.46614
0-1-2-0-0-0-0-0-0-3;0.46170;0.46937;0.46421;0.45366;0.46676
0-1-0-0-0-0-2-0-0-3;0.46113;0.46987;0.46406;0.45208;0.46602
0-0-1-0-0-0-2-0-0-3;0.46244;0.47063;0.46535;0.45382;0.46717
1-2-3-0-0-0-4-0-0-0;0.46249;0.46862;0.46401;0.45749;0.46581
1-2-3-0-0-0-0-0-0-4;0.46256;0.46900;0.46426;0.45820;0.46608
1-2-0-0-0-0-3-0-0-4;0.46253;0.46900;0.46415;0.45732;0.46606
1-0-2-0-0-0-3-0-0-4;0.46295;0.47010;0.46531;0.45889;0.46710
0-1-2-0-0-0-3-0-0-4;0.46345;0.47027;0.46558;0.45896;0.46762
1-2-3-0-0-0-4-0-0-5;0.46236;0.46815;0.46357;0.45797;0.46565
